355872095_393572086985555968 x	http://t.co/vjqhYemudn
355872095_392827927009980416 x	RT @BET: .@KanyeWest put a ring on it!!! He and @KimKardashian are OFFICIALLY ENGAGED!!! http://t.co/1fypMdgTOX RT to congratulate them
355872095_392822800941326336 x	#final battles tonight!!
355872095_392822425249120256 x	RT @NBCTheVoice: Here we go! RETWEET if you're watching the #FinalBattles! http://t.co/QfxzRT5BzT
355872095_392820373093244928 x	Watching the voice!!!@voicHope tonight is as good as last nite @NBCTheVoice
355872095_392431001705914369 x	RT @kbeautyofficial: Get under my Cabana bana bana bana!! KARDASHIAN BEAUTY CABANA COLLECTION ?? http://t.co/5OWcVbocm6
355872095_392428114166702081 x	http://t.co/MYsCz6IbXl
355872095_376191671643295745 x	RT @kkmanagement: Hey Yall please follow my Boi @MARLONLWAYANS new online destination and network @WhatTheFunny live love laugh its the onl?
355872095_376191325210943488 x	RT @MeekMill: #Bang RT @ChillMoody: @MeekMill Rollin on this jawn yo. #Philly
