1411543980_398830222755520512 x	#ff @PhillyBeerChris @LilChase26
1411543980_392473712089653248 x	@LilChase26 maybe it'll bring the Flyers some luck if you wear during their games!
1411543980_391221236376031233 x	#ff @PhilliesDarling @LilChase26  @JessiDreamer17 @ephkadel @Philly_Sports99, stuck with me through the rough #Phillies season! True fans!
1411543980_398819913407926272 x	#FF @AndreaNimchuk @CoachBurkett @RobbieCap @Cody_Ost @phillyfan24 @FredEx11@JessiDreamer17 @Bat_Palco @CLeefan @scottbails13
1411543980_396261119469563904 x	@MallonDan @CoachBurkett bow tie tied too tight, cut off oxygen to his brain! Victorino stayed classy though!
1411543980_396269632002457600 x	@MallonDan @CoachBurkett I'm about to leave for work too, not listening either
1411543980_396262979727290369 x	@CoachBurkett @MallonDan apparently Eskin was trashing Victorino too! I hate Eskin!
1411543980_396263623565524994 x	@CoachBurkett @MallonDan haha the Burger King. I should've specified, but I don't like his spawn either
1411543980_396265069040119808 x	@CoachBurkett I don't listen to them either, and I try to minimize having to listen to Joe Buck too! ??
