435221762_354520816454606849 x	@_rebelleeFleur blocked by beanie babies, Barbie dolls and Lil j's Jordan flip flop-lol
435221762_353876534802644993 x	Change in tonight's menu...I will be serving roasted Marinated Rocawear with NO sides! @BIG_Shelll
435221762_353938957270130688 x	@BIG_Shelll oh really??!! She said there were no sides!
435221762_353902733260095489 x	@itzbreezydoe ur always working woman! Cupcake?
435221762_353883992430358530 x	@itzbreezydoe everything???!!! Hmmmm...
435221762_353715281262149633 x	Maybe I should make my meatloaf now!
435221762_353715161258934273 x	Hungry!
435221762_352891760860610560 x	Brownies! http://t.co/4fcm4zrnym
435221762_352890865301217280 x	Baked ziti, salad and garlic breadsticks on deck! Oh yeah-brownies for dessert! http://t.co/XKELdFiBRW
435221762_352773057703718913 x	RT @_rebelleeFleur: My day would be made ?? #socute http://t.co/kzwMR7MmW6
435221762_352577731076165633 x	@BIG_Shelll no cuz she ran downstairs screaming like a Lil......
435221762_352455928303464449 x	@itzbreezydoe lighter for what missy?!
435221762_352152521906728961 x	@BIG_Shelll meatloaf, mashed potatoes, Mac n cheese (maybe) and a yummy dessert. Save ur hunger! Lol
435221762_352151840781107200 x	RT @itzbreezydoe: I need drink, where's my Bacardi ???????
435221762_350413590810988545 x	I'm really shocked that oomf is not watching the draft!
435221762_348913695834906625 x	:-/ when someone has time to vine but none to text or call her fav person
435221762_348413603034046466 x	@BIG_Shelll and a sponge bob pillow!
435221762_348148542352797696 x	RT @_rebelleeFleur: I love her ?? https://t.co/HoP8TAspUO
435221762_347287391335219200 x	RT @_PreciosoLove: juding a person does not define who they are it defines who you are
435221762_347177814493114368 x	@BIG_Shelll BBQ chicken, Mac n cheese, corn and brownies
435221762_347178976529240066 x	@BIG_Shelll if Asia gonna make u the plate....I'm comfy cozy in my bed...ahhhhh...just had some brownies too....mmmmmm
435221762_347179612696104961 x	@BIG_Shelll she gonna get it for u?
435221762_346820634740932608 x	@_rebelleeFleur Me too. Lets count sheep
435221762_346815745356861440 x	Her cryptic responses-gotta love her...I guess... Lol @itzbreezydoe http://t.co/rKnzMsZavg
435221762_346814935088627712 x	Better watch tv while I can!
435221762_346814786505420800 x	Don't like no one that makes my baby cry!
435221762_346566492785082368 x	Doing the best I can...
435221762_345470893981573121 x	RT @itzbreezydoe: I want white castle;
435221762_345358324159623169 x	@BIG_Shelll there's more!
435221762_345341426093142017 x	@_rebelleeFleur I did!
435221762_345112509440729089 x	I need a master plan
435221762_345112415760969729 x	Overwhelming
435221762_344939866901069824 x	Just tell me one thing... Who the hell is oomf!
435221762_343140643603881984 x	RT @_PreciosoLove: i wanna see the purge soooooooooo bad
435221762_342941104188035072 x	@itzbreezydoe don't u want a Jayda of it own one day!!
435221762_342580481252020224 x	U don't socialize with people who lied on u! Who does that??? Um they probably wasn't lying and u know it!
435221762_342579407308853248 x	If u did me wrong over and over and think I wasn't prepared for the next one u were sadly mistaken
435221762_342578778305880064 x	@_rebelleeFleur u crazy!!
