27242239_386259965255905280 x	@DonnyGoines good evening!
27242239_386596682668183553 x	@DonnyGoines I'm doing good Donny, how are u
27242239_386613571008081920 x	@DonnyGoines bills are Never gonna stop... Better busy than bored dear
27242239_396686632046559232 x	....the forehead, the shoulders..
27242239_396686559489302529 x	When kissing someone let them breath, kissing someone for 20 mins straight feels suffocating... Take a break and kiss the nose, cheeks
27242239_396307216816685056 x	Me as a pirate for Halloween http://t.co/cmWeJCqzkr
27242239_396092446603767808 x	So I couldnt find a good she-devil costume so Imma be a she-pirate! Pix coming soon!
27242239_396067935887708161 x	I wonder if ghost rider has a big dick.
27242239_351675732721795073 x	@ksgt40 ive been doing good.. what about u
