19197706_398860415683547138 x	@LilChase26 @KarenFox29 shoo-fly pie!!!!! Yum!
19197706_398118770977570816 x	@1895Aido @LilChase26 none better!! (Bias showing!)
19197706_395252237460860929 x	@LilChase26 my mom loved your outfit. I show her your pics every time there is a new one. Guess who her #1 guy is? http://t.co/6soRd5V4cs
19197706_395650989686272001 x	@LilChase26 you need to send your Halloween pic to @philliesnation
19197706_394912473545203712 x	@LilChase26 LOVE IT!!!! Very trendy. What is your favorite candy to get trick-or-treat? #duckdonuts?
19197706_394604293883715584 x	@LilChase26 @d8braves well? We're waiting!!!!!!!
19197706_394251052603957248 x	@Ut26 totally agree. Now I want the Sox to crush them!!!! @LilChase26 agree?
19197706_391291235316420608 x	#FF @LilChase26 the cutest little guy with the biggest heart. Can't wait to see what he does for Christmas!!
19197706_390511703160418306 x	@LilChase26 @kfrappcoffee Duck donuts!!!  Duck donuts!!!  Duck donuts!!!  Duck donuts!!!
