236614055_271005731598254080 x	DC to SC #Kiawah
236614055_255365135110123520 x	Homework in Kiawah? #impossible
236614055_254006125794570241 x	Bye, bye Bobby! #finally
236614055_254008863114805248 x	@kimvanegmond When do you work this weekend? #read
236614055_233021986761216000 x	Craziness at the #BeamFinals
236614055_226386626652278784 x	No Squares
236614055_226689461621227520 x	@kimvanegmond you know it!! Be on the island soon
236614055_100968399819112448 x	lost without my main man #josephwest
236614055_101411060489256960 x	@kimvanegmond coming to visit you at work tomorrow! get exciteddd!
