47882030_391373648961216512 x	https://t.co/w6QSxzQxYm
47882030_390942722741125120 x	@Samanntharyan yeahhh I missed you ya fuck. ?
47882030_390898269288935424 x	@breannabelsky what!? Hahah
47882030_390897893798060033 x	@breannabelsky yous stooopid ?
47882030_390873246297755648 x	That confused song by hardo is nice af
47882030_390872799910576128 x	I'm way to nice at nhl 14
47882030_390682754721255424 x	@kelwalsh71 cause you give me reasons to ;)
47882030_390628576892293121 x	We're just a product of what the government has created.
47882030_390541721500528640 x	My header tho >>
47882030_390503204074840064 x	@jnbarefoot ME TOO! ?
47882030_390330812933365760 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a baseball signed by @RedSox pitcher Koji Uehara. #ALCS http://t.co/69u3lKmBcK
47882030_390270859627474944 x	Free Big Macs for everyone! AHHH!!!
47882030_390263086772662272 x	?@DoForDollars: For $5 million, would you live in a house for 5 years all on your own?? Hell yeah
47882030_390239679615754240 x	Pens game with @nicknel24
47882030_390208152169627648 x	@Pat_Barcaskey is such a turd
47882030_390207115555782656 x	Going to the pens game tonighttt!
47882030_389996173081059328 x	RT @Huntermoore: RETWEET this is you're a Child of mine or a part of #thefamily and lets all follow eachother <3 make #thefamily closer
47882030_389588479619137538 x	@hholllyyy_ no, just no.
47882030_389540281886183426 x	I got in 2 chains, no I ain't titty boy.
47882030_389533058699120640 x	good job Brady ?
47882030_389510535072731136 x	?@HistoricHockey: Sidney crosby has only lost one of the six fights he has participated in throughout his career.? But he's a pussy, right??
47882030_389482166440427520 x	Shawty got a big ol butt, oh giiirrrllllll!! ??
47882030_389470814195970048 x	@daylaxo07 I am shabba ranks
47882030_389459206514155520 x	RT @iLikeGirlsDaily: Disney ? http://t.co/0PiLfuSg5Q
47882030_389297234220965888 x	RT @biglonn412: Weed smokers who use papers,bongs,vaps etc... Have fresher breath whiter teeth and better mornings then those who smoke blu?
47882030_389261922312663040 x	RT @ImDizzzy1231: One ride and a little food later... @skymilla @KrazyKatieKiss @Ayo_Jermm @daylaxo07 @JuicyJay_Mane
47882030_389245943616253952 x	Sorry guys ;) she's mine again?
47882030_389229326954012672 x	RT @dan_dellovade44: #rp http://t.co/4MHdgvFDLO
47882030_389229055305732096 x	RT @MadChad412: Update  Pens 4-1 Crosby 9 points 5 goals Tanner Glass 3 points   Flyers 1-5 Giroux 1 point  ??
47882030_389175312887451648 x	RT @CBSPittsburgh: PHOTO: Authorities on scene of house explosion in #MoonTwp: http://t.co/kxDHpaG8gD (viewer photo) http://t.co/ZfumGJLgou
