1155149406_399369749651795968 x	RT @thaRadBrad: Announcing the giveaway winners for AC4 and Ghosts on Monday. Google+ ruined the comment section and it?s not showing all c?
1155149406_399369707918475264 x	@thaRadBrad yea that sucks fucking goggle+
1155149406_399349295566290944 x	RT @nicekicks: This "Safari" Foamposite custom may prove to be the best custom sneaker of the month -> http://t.co/B1LQfAFmmq http://t.co/k?
1155149406_399348811912708096 x	@Traphik wtf ????
1155149406_399319568881295360 x	?@SoleIndividual: Some custom 5's I came across these fire ??? http://t.co/2b5B98WbEf?
1155149406_399313866225897472 x	RT @OfficialTerRio: Everybody don't change your avi to after Wednesday my single drops November 12 make sure we tweet it out
1155149406_399313838140846081 x	RT @OfficialTerRio: Change your avi and I'll followback http://t.co/PL4APhMqGk
1155149406_399313278108971008 x	@OfficialTerRio follow back
1155149406_399255873433772032 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @bentoncallaway3 http://t.co/hBdN72eLNx
1155149406_399255848695775232 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @VictorJrSound http://t.co/zDQBMdDqnF
1155149406_399255811030925312 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @jabrock03 http://t.co/HnhAhLEs91
1155149406_399252577189376000 x	RT @Ratchet2English: I HATE BLACK GIRLS THAT WORK IN MCDONALD'S. THEY BE TAKING YA ORDER WITH ATTITUDE LIKE YOU THE REASON THEY NEVER MET T?
1155149406_399065555174699008 x	RT @HHS1987_West: #NEW @DJSelf Interviews @PeanutLive215 & @BWyche of HHS1987 on @Shade45 (Video) http://t.co/Fmd7ieK3BQ
1155149406_399065424308224000 x	RT @HHS1987_West: #NEW @DJSelf Interviews @PeanutLive215 & @BWyche of HHS1987 on @Shade45 (Video) http://t.co/UveufcSYSe
1155149406_398970653883523072 x	RT @FunnyPicsDepot: I'm never going to Chicago again! http://t.co/Y9oMwJCCzu
1155149406_398869730976481280 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @morefree3 http://t.co/9YeAYaIlvR
1155149406_398869715533045760 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @Robindehuis http://t.co/pML2YWlyMs
1155149406_398869704917266432 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @Ramon_TheAries http://t.co/8BbLzSWNyn
1155149406_398868779163467776 x	RT @HotNewHipHop: .@Eminem's Childhood Home Damaged In Fire http://t.co/NMANTaJfVJ RT! http://t.co/4RDMInnlEx
1155149406_398633763305185281 x	If you didn't download it u missing out #mmlp2 #eminem #11/05 http://t.co/SoFRLsn7L1
1155149406_398633331384143872 x	The Marshall Mathers LP 2 this shit is fire #mmlp2 #fire #like ???? needs ?????? http://t.co/5sGGRUjB0C
1155149406_398629223155642368 x	RT @FunnyPicsDepot: Story Of My Life http://t.co/dPMjZvnJ1A
1155149406_398540355412705280 x	@HoneyBiz_Mel So u into that sneaky slimy shit huh lol ctfu ???????
1155149406_398540338820046848 x	@PeanutLive215 was like "y'all gonna walk to that door,turn the doorknob, now use your feet,now walk the fuck out,and lock the bottom knob"?
1155149406_398540318104383488 x	@PeanutLive215 Yo that intro was hot. U was like 3 Hundred and 50 dollars!!????? but then end tho ?? he got u two times #RipPeanut #rps ??
1155149406_398540279395127296 x	@PeanutLive215 be like look me in my eyes ? u know I ain't do that shit ctfu #rps
1155149406_398351946043490304 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @ricky50112737 http://t.co/8pZCjdoNSe
1155149406_398351931627696128 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @House1of1sprite http://t.co/g93DmOegxJ
1155149406_398351910752636928 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @Dmula32 http://t.co/DAJTGqAA89
1155149406_397153906389942272 x	RT @ChipChocolate_: Just touched down at the #YouTubeMusicAwards http://t.co/8crknoSEg4
1155149406_397126705753915392 x	Zach Ertz where was this team last week and the week before that lol 28-10 Eagles #ZachErtz #oooohhh? http://t.co/YILD7aCPQk
1155149406_397121151916576768 x	21-3 Eagles touchdown by Riley Cooper he is a beast #lets #go #eagles #rileycooper #busten #ass http://t.co/VKzxc1HuB7
1155149406_397112127762497536 x	@mcb_215 @TIZ_215 ???????
1155149406_397112038675447808 x	RT @mcb_215: "@TIZ_215: Y'all bitches feet be blacker then a newborn born baby when they get They prints done. http://t.co/R4hpcc25ct"ctfu ?
1155149406_397103576096710656 x	RT @Vitalyzdtv: NEW VIDEOOOO!! :) SHARE IT :)) http://t.co/JceXzSm2tc
1155149406_397102280555892736 x	Extreme Homeless Man Makeover Part 2! Must Check out!Part 1 and Part to Vitalyzdtv is the channel it's on ? http://t.co/x3SfmZr8H8
1155149406_397101859636539393 x	Extreme Homeless Man Makeover Part 2! @Vitalyzdtv mad respect for doing this to a person that u don't know  http://t.co/x3SfmZr8H8
1155149406_397101449370685440 x	Extreme Homeless Man Makeover! @Vitalyzdtv yo ur the man Vitalyzdtv that was a great deed  http://t.co/BBek13I2uC
1155149406_396997539662020609 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @SirPorkofChop http://t.co/FnAKcvy7SV
1155149406_396977036222136321 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @FootsoldiersBiz http://t.co/8hwo1kkl4N
1155149406_396977027237957632 x	Entered to Win #FreeKicks Nike LeBron 10 EXT Black Suede on http://t.co/0Yphc4x9Zh @YM_SuccesIseek http://t.co/6AKtZUL3EA
1155149406_396781384284786688 x	RT @ajK1mmy: Kanye can shove that water bottle up his ass. RT ?@KillAllSimps: I hate Kanye so much RT @chiefdolphin: No way...... http://t.?
1155149406_396749057953378304 x	Hahahaha when some one tells you you have to many shoes ????? http://t.co/nqv1gAuov7
1155149406_396748703744425984 x	RT @kicksonfire: When someone tells you you have too many shoes... http://t.co/alQTFtJkUH
1155149406_396736805187616770 x	RT @FunnyPicsDepot: Chief Keef cut his dreads off! http://t.co/6B9rtvQElU
1155149406_396736557367169025 x	@Neef_Buck #Nov19th #TrashBagKing http://t.co/S94g9NVKK6
1155149406_396735993388466176 x	@Neef_Buck this cover is crazy and it comes out #Nov19th and the video dropping the same day can't wait #fdm6 #TrashBagKing ??
1155149406_396733992881627136 x	RT @Neef_Buck: #TrashBagKing Official Video Drops This Monday At 2pm! #FDM6 Nov.19th http://t.co/IA5hF0mYbP
1155149406_396728838073622529 x	RT @OodlesNoNoodles: @TRIZZYTHEMOUTH yeah @sergiopimpfiles didn't seem to understand that tho #RRR
1155149406_396728815877365760 x	RT @TRIZZYTHEMOUTH: YO @OodlesNoNoodles YOU A FUNNY NIGGA.. WHO WAS GOING TO LIVE TO TELL THAT STORY LMFAO!!! TEARS NIGGA #RPS #BOOM
1155149406_396723525454925824 x	@therealestdutch be like https://t.co/EDAzL9XXM8 #Sergio #pimpfiles #pimp101 #instagrampimpin #ctfu ????
1155149406_396534986415030272 x	RT @DylanMcDermott: CBS: Opening Night ?Hostages? Audience Now Nearly 16 Mil, And Other 30-Day Viewing News http://t.co/qSIAOKZb2k via @dea?
1155149406_396534941183672321 x	RT @NBASTORE: Score the LeBron XI basketball shoe at http://t.co/XG3YrUdsD7 (GS only) and NBA Store NYC! http://t.co/VqNxs9vxIb http://t.co?
1155149406_396534898380791808 x	RT @Ereeeek: What does next-gen mean to you? Better graphics? An empty bank account? http://t.co/DXT1TuKKZX
1155149406_396499159005421568 x	Entered to Win #FreeKicks Air Jordan 4 Toro Bravo on http://t.co/0Yphc4x9Zh @G_Zheng http://t.co/tFEQBSqmwt
1155149406_396498637150113792 x	Entered to Win #FreeKicks Air Jordan 4 Toro Bravo on http://t.co/0Yphc4x9Zh @OforiKissi1 http://t.co/nsyfzUKP10
1155149406_396498620133830656 x	Entered to Win #FreeKicks Air Jordan 4 Toro Bravo on http://t.co/0Yphc4x9Zh @MyOwnRevival http://t.co/Wo9lwZBFyX
1155149406_396434388462088193 x	@RyanRstar can't wait
1155149406_396434315468615680 x	RT @RyanRstar: #ThanxForAllTheSupport that y'all show a Nigga, I truly appreciate it! ? http://t.co/hjld49gspS
1155149406_396433569251590144 x	RT @RyanRstar: @antoniocintron2 Haaa! Thanx for viewing! ?
1155149406_396425584928391168 x	RT @ComplexSneakers: These pictures make you want these Yeezys even more! http://t.co/iAysgtSHyS http://t.co/rNfUGHWXk0
1155149406_396418227733266432 x	@flightclub so who won
1155149406_396366178295488512 x	#PERSONALS MYSTERY NIGHT  http://t.co/75H5yeUCjf
1155149406_396368888386322433 x	@ImJusKP @Tashamac_215 @RyanRstar #PERSONALS Episode was good ?and I never thought that the killer would be @Asia Star lol #spoilers
1155149406_396355463497142273 x	RT @TIZ_215: @DameDollur -->> Rt "@antoniocintron2: @TIZ_215 was on the Episode 8 of #THEBID (Season Finale) like https://t.co/wJ6yLazioi"
1155149406_396355295821459456 x	RT @DameDollur: @TIZ_215 @antoniocintron2 ???????? ctfuuuu
1155149406_396353387090173953 x	RT @TIZ_215: CTFUUUPP #DEAD RT "@antoniocintron2: @TIZ_215 was on the Episode 8 of #THEBID (Season Finale) like https://t.co/wJ6yLazioi"
1155149406_396351451557289984 x	@TIZ_215 was on the Episode 8 of #THEBID (Season Finale) like https://t.co/6ZXgNRKTF3
1155149406_396351091497267200 x	RT @nikestore: The Air Jordan 5 Retro 'Laney' launches tomorrow at 8am EDT. Twitter link only. Details: http://t.co/95vfxwyVto http://t.co/?
1155149406_396126385430736896 x	Entered to Win #FreeKicks Air Jordan 4 Toro Bravo on http://t.co/0Yphc4x9Zh @Bright_Yello http://t.co/NkJO9C6NiO
1155149406_396125239781769217 x	Entered to Win #FreeKicks Air Jordan 4 Toro Bravo on http://t.co/0Yphc4x9Zh @og_PedroAlberto http://t.co/cpNtAyfvug
1155149406_396125066997420032 x	Entered to Win #FreeKicks Air Jordan 4 Toro Bravo on http://t.co/0Yphc4x9Zh @julianhamama http://t.co/HjfNzj0ozx
