28370738_385436519785574400 x	Wife of Reds pitcher says she was attacked by Pirates fan: http://t.co/YPGaZEZthX
28370738_391914453983576064 x	Don't know who to start today on your fantasy team? @MBeller will be taking over @SInow at 9:30am ET to answer your FF questions. Fire away!
28370738_395246358023909376 x	Seahawks reportedly looking to trade for Vikings Pro-Bowl DE Jared Allen http://t.co/Ryz0IZXLwL
28370738_364830242965159936 x	The NFL is desperate to fix its all-star exhibition, but it's better to just let it die instead: http://t.co/mmYqqT5JWR (via @TheMMQB)
28370738_348066528865951744 x	Reports: Rapper Drake denied access to Heat locker room after Finals victory http://t.co/0DcUUjjKrU
28370738_361443434218786816 x	New York Giants GM Jerry Reese: "Being to the playoffs one time in four years is below our standards." http://t.co/0wrhrjWcDJ
28370738_345343106473943040 x	Spurs? Gregg Popovich blasts ?idiots? for racist comments about  11-year-old National Anthem singer: http://t.co/CKtyuHM6x8
28370738_381106098906103808 x	Arian Foster admits in documentary he took money at Tennessee: http://t.co/TTfXWGS6XE
28370738_394406875774844929 x	Roger Goodell says he wants NFL teams in both London and Los Angeles http://t.co/hwuKyrRCmd
28370738_391839707166150656 x	Report: MLB likely to ban home plate collisions after discussions this winter http://t.co/HAJOspzRvO
