90977269_374911813861007360 x	Been going to school since aug 8 before everyone else  #FOX29BackToSchool http://t.co/TZSCPg7v7k
90977269_374886024067166208 x	@SueSerioFox29 @MikeFOX29 @DTimmeneyFox29 @SheinelleFox29  ..she started aug 8 #LookAtMeFox29 http://t.co/svXvLDxYQX
90977269_374853035690041344 x	@SheinelleFox29 ..#LookAtMeFox29 ...my lil one started kindergarten on aug 8 ..she been back before everyone else http://t.co/8aJpA3eMoW
90977269_374845230702678016 x	My Lil one been back since aug 8 @SheinelleFox29 http://t.co/8gNEmyMLJw
90977269_346604791050407936 x	@KarenFox29 http://t.co/xhCOAEsQkX
90977269_301500746384416768 x	Check out this @RetailMeNot coupon from Home Depotjdhferdafdr http://t.co/KMVlSii9
90977269_263122590187520000 x	@Good_Day_Philly ..all lights out in the area of 19125 help us out
90977269_261958514866548736 x	@visitphilly was at 16 & market today out side the pnc building
90977269_240223954718060545 x	@MattyBRaps ...my lil girl loves u n she is only 4 yrs old ...
