80094297_240990630162096130 x	http://t.co/WqOdR7z7 This is how we get down at PrimePrepAcademy.
80094297_201360072994078721 x	My 10yr old said daddy can we get a pet snake? I said #HOP black folks don't do that. We have a 4 inch stomach off the ground rule. Lol
80094297_171397990798458880 x	If God told u had 1 day left in life what would u do? Be honest please.
80094297_132539494304972800 x	Im so excited to walk @deionsandersjr out on senior night 2night. I may wear my old falcon uniform spatted up full Prime Swagg! Kool?
80094297_128903666282397697 x	PROTECTED
80094297_226652260292247552 x	Goodmorning and God bless u. Lets appreciate this day like it was given n not earned, as it was. Be nice,thankful,loving n considerate.Truth
80094297_98526315950522368 x	10,Prime wish y'all knew who he was when he played!
80094297_372813729265876992 x	Can we investigate the investigators? @DezBryant got suspended a season 4 lying about a dinner that wasnt a violation & Manziel gets a half.
80094297_396634312432291841 x	Goodmorning and God bless you. Let's Laugh,Love,Live and Forgive. 2day can become whatever u want it 2B. Let it become a great memory. TRUTH
80094297_390570724446203905 x	@RealPeterson21 and @Mathieu_Era ! I'm telling what I know NOT what I heard. TRUTH http://t.co/5tYoaAUcUo
