1500652086_345837982894419971 x	@MoniqueLynee get your ass up now!!!
1500652086_392018522290655232 x	That zone blitz kills all rookies.....
1500652086_392016312945213440 x	How many people would say that eagles defense would hold dallas to only 17 pts and still not be in the game
1500652086_392013336562237440 x	How do your Nick Foles fans feel now??
1500652086_392013132706480128 x	So much this guy..... put #2 Matt Barkley in already!!
1500652086_366459276933349376 x	P http://t.co/vxGV6mUJfk
1500652086_347740520669392896 x	@marcelluswiley I just wanted to say thank you for being a great teammate and a good friend to my bro, Buffalo bills..D.COV#57
1500652086_345020730435596288 x	@MoniqueLynee  do I need to make a quick trip to jerze??
1500652086_345021269604958208 x	@MoniqueLynee all you got to do is say the word
