489851359_319624806360285184 x	Did the Phillies come back from Clearwater? @GreatWhiteShemp @atene17 @am_DAlessandro @daviddipaolo @valeriB731 @jeffdmoore10 @SeanBrace975
489851359_355851149636681730 x	@jeffdmoore10 @atene17 @theknarfdog @GreatWhiteShemp @am_DAlessandro @daviddipaolo @JonMarks975 @SeanBrace975 ..Frank The Tank is in
489851359_355726567965589504 x	The skies are getting dark,could it be a Sharknado ?
489851359_355081872931426304 x	#RightOnFightOn
489851359_354771008969904130 x	Does Juan Samuel ever argue a call?
489851359_353907602511511552 x	@SportsChatChuck .whats your guess ?
489851359_353136085401993219 x	Please tell me that @atene17  is not holding anything but a Yuengling. Very festive picture @am_DAlessandro
489851359_351519297127989249 x	I drove right past the gym today. #MaybeTomorrow
489851359_351159231761747968 x	Great pictures @RobAlGhul did you bring a Phillies shirt with you ? #represent
489851359_351153422067699712 x	RT @SeanBrace975: #RightOnFightOn
489851359_351008246645010435 x	Congratulations @atene17 @am_DAlessandro
489851359_350726849220976640 x	RT @975TheFanatic: #RightOnFightOn
489851359_350445329868521472 x	RT @KhandymanSports: RT this and Tweet "#RightonFightOn" to support #Phillies legend Darren Daulton as he undergoes surgery to remove two b?
489851359_350015855427452929 x	I see that @RobAlGhul has lost interest in Dom Brown. #Arriverderci !!!!
489851359_349714875406225408 x	How long will Charlie remain as manager? @SportsChatChuck
489851359_349364228278333441 x	First the Spurs & now the Bruins, I need to go back to school. #regroup @GreatWhiteShemp @mrozboul @RobAlGhul
489851359_349331909878353923 x	ShamrockShake @mrozboul
489851359_349295617559900162 x	Twinkies return on July 15 #hallelujah
489851359_348992076714745857 x	I have nothing but admiration for LeBron, he is the best player in the NBA.#REPEAT
489851359_348596384850640896 x	Frandsen hits a walk off and nothing from @RobAlGhul
489851359_348000035763544065 x	MTM=Graduation #VeryProud
489851359_347854150836572160 x	I thought @mrozboul was going to Temple. #Mr.Salt http://t.co/hvMDhvfAYj
489851359_347852761196535808 x	The odds are against the Spurs tonight, but you never know.
489851359_347179258583597056 x	@RobAlGhul went to class but I did my homework.. #spursvictory
489851359_347176443194769408 x	A Spurs victory = Fogo....delicious
489851359_347096324128247808 x	RT @mrozboul: Pep rally champs two times! Haha #yearbook #2013 #king http://t.co/pc5hw9bbgd
489851359_346456523704254464 x	@RobAlGhul @GreatWhiteShemp @mrozboul  all disappear more than Houdini...#Victory
489851359_346438507725725698 x	Spurs look strong..just sayin @GreatWhiteShemp @mrozboul @RobAlGhul
489851359_346419313021960193 x	I think @RobAlGhul jinxed Dom Brown.
489851359_346288755549818881 x	Open challenge on 6/29 to all who dare face The J?ger Bombs #ladderball
489851359_346109032991428608 x	Tonight it's the Bruins,tomorrow the Spurs. Where o where is @RobAlGhul
489851359_346107997149335552 x	Great Stanley Cup game tonight #Bruins
489851359_345364411852140544 x	I hear crickets from the Heat lovers...@mrozboul @GreatWhiteShemp @RobAlGhul ...you people..just sayin
489851359_345348790603087872 x	I like the Spurs to win game 4. Coaching advantage to San Antonio.
489851359_345324293099499520 x	The Phillies have recalled Michael Martinez,is that the best they have ? #FireRAJ
489851359_344658338224676865 x	I was so confident that I gave @mrozboul points tonight.I did my homework. #salty
489851359_344657810409263106 x	Time for your bedtime@GreatWhiteShemp @mrozboul @RobAlGhul  and all the rest of you Heat lovers..#ilkemysteakmedium
489851359_344656351257034752 x	Ohhhhh snap..The Fash really does know basketball.#Spurs@GreatWhiteShemp @mrozboul @RobAlGhul
489851359_344654367623901184 x	Turn out the lights the party's over,@GreatWhiteShemp @RobAlGhul @mrozboul
489851359_344650017082060800 x	You little kids should have listened to the your sensei #fashknows best.@GreatWhiteShemp @mrozboul @RobAlGhul #Spurs
489851359_344635804905254912 x	I can't hear you @GreatWhiteShemp @mrozboul @RobAlGhul  #Spurs
489851359_344618289231695873 x	Spurs win tonight #Nodoubt
