1490555574_399602295908089856 x	@BOBBY_J_SHANE74 @VictoriaJustice @ILoveTheVJ thank you!! :)
1490555574_399560989957697536 x	ok now she's pissing me off a lot more than she did, she does not deserve that much fans, she's a fucking fake god how can u like her
1490555574_399251162987528192 x	so I found this interesting comment & I feel the need to repost it,  @.orranjewz on Instagram wrote it. I agree doe http://t.co/4msvr2a25s
1490555574_399041875765907456 x	ok ppl need to stop taking sports so seriously 99.9% of u guys or even 100% aren't gonna be professionals or the FIFA World Cup so ya
1490555574_398933360682475520 x	I really don't like it when Victorians go against other Victorians aka me. like Ik I might not be nice sometimes but we're in the same team
1490555574_399007194152468480 x	@BOBBY_J_SHANE74 tbh I kinda do agree, I mean like that's why lots of people don't like Victoria cuz of us. I do feel bad.
1490555574_398651888104906753 x	@NickelodeonTV lol victorious would have like 8M, & yet u promoted Sam & cat everywhere lol that's the reason it has 1M it ain't Gettin more
1490555574_398585861463629824 x	#truth #notamorningperson http://t.co/6SS73N06Hi
1490555574_398239842741796864 x	@MeGustaVJustice ?? HAHAHHA
