531530827_398609700922884096 x	You can hate lil wayne all you want but when one of his older songs come on you sing it
531530827_398608640636370944 x	RT @WeAdoreBabes: RT if you adore Katy Perry ??? http://t.co/HiUpQvPbu4
531530827_398608418455715840 x	I just wanna be famous
531530827_398602616034590720 x	@ShammyMane shammy
531530827_398608009578151936 x	@ShammyMane bpht (fart noise). Yeaeaea
531530827_398589040749854721 x	Who else not going to school tomorrow
531530827_398588931421528064 x	RT @FlyEaglesNation: Completely forgot about Oregon-Stanford. Day just got a lot better.
531530827_398588836957409280 x	@Winless4Wiggins agreed
531530827_398542859680636928 x	RT @LifeAsBros: When you get out of the shower and left your towel in the other room http://t.co/UDl2JSIMBO
531530827_398542004852125696 x	RT @BestOfAds: Smoking Kills PSA http://t.co/E26YyGf2qu
531530827_398484156931653632 x	When your blocked by somebody you dont even know and youre like woah man what did i do
531530827_398484025423441920 x	Follow me back you little sloot
531530827_398483685449945089 x	Eye for an eye
531530827_398481140321103872 x	I cant stand songs ariana grande is in
531530827_398481015368585216 x	Cant wait to get home
531530827_398480135244251136 x	Starving with no money
531530827_398420226125365248 x	Nice morning
531530827_398420038241505281 x	Tony montana
531530827_398419989960871937 x	RT @wallywader2: my music taste is so bipolar
531530827_398410129634496512 x	Last day of the week
531530827_398262834980982785 x	The wizards fucking suck they piss me off so muh
531530827_398260581431791616 x	RT @cassiesanchezz: who wants to tutor me in alg 2???
531530827_398258300451823618 x	Husky and proud
531530827_398184644027613184 x	RT @FlyEaglesNation: Can't believe the Chiefs are so good
531530827_398183260062486528 x	Thinking about not coming friday
531530827_398058567787642880 x	Blue on blue
531530827_397899639695114240 x	Exhausted
531530827_397892290234302466 x	Honestly the aquarium was boring but sicks last resort was amazing
531530827_397892131454713856 x	RT @a_vargas23: *At dicks restaurant*  Waiter: I'm not bringing you shit  Waiter: *flips everyone off at the table*
531530827_397882520169361408 x	Hat fits like my condoms http://t.co/11yDurcYoi
531530827_397881653739393025 x	Baltimore http://t.co/Aum8tM678V
531530827_397878101902114816 x	@KISHLVP21 oh man http://t.co/VJpAueeZMg
531530827_397837466314743808 x	Dicks is hilarious
531530827_397732053036564480 x	RT @Iconic_Sports: 17-year-old Wilt Chamberlain at 7-foot-1 runs track while a senior at Philadelphia's Overbrook High School. http://t.co/?
531530827_397704024851750912 x	Just saw some tits on the bus
531530827_397725638649724928 x	@brknyth pretty perky
531530827_397722991746121729 x	RT @AdamSchefter: More definitive scans today but initial tests showed small fracture in Aaron Rodgers' collarbone that could sideline him ?
531530827_397718318393856000 x	@GeoffMosherCSN aaron rodgers broken collarbone?
531530827_397715718055395328 x	Broken collarbone aaron rodgers?
531530827_397704852627001344 x	RT @RemySabol: Yo S/O to the bus driver for showing tits on the tv's. #Goodmorning
531530827_397704140673253376 x	Force fed porn
531530827_397696194568548352 x	Turn up at the aquarium
531530827_397685928606846976 x	RT @BMcCarthy32: if anyone else is watching the World Series of Poker final table right now, then guess what? We are the exact same level o?
531530827_397685597646888960 x	Aw shit turn up at the aquarium
531530827_397538525950001154 x	RT @KNegandhiESPN: That one week when the Bizarro Sixers were on top of the NBA has come to an end. Back to the business of the 2014 draft ?
531530827_397535767779893248 x	But hes tooooo nice
531530827_397535736590651392 x	Steph curry is ugly as fuck
531530827_397531592576745472 x	@SLapp89 what time we have to be at the school
531530827_397530649554604032 x	Steph curry is so nice
531530827_397530130433970176 x	@FlyEaglesNation iggy was never given any support
531530827_397529847641432064 x	Wow what just happened
531530827_397526738290638848 x	God damnit make your freethrows
531530827_397526472686309376 x	@Winless4Wiggins he should be in the celebrity game in allstar weekend
531530827_397526371968503808 x	RT @Winless4Wiggins: DeSean Jackson in the building!
531530827_397518894354956288 x	Wait whos ready to turn up at the aquarium tomorrow
531530827_397518718437445632 x	Brett brown such a good coach makes such good adjustments
531530827_397518098418655232 x	Steph curry is fucking sick
531530827_397516128865771520 x	GO
531530827_397516112780611584 x	Gi whats a gi
531530827_397516093725896704 x	SIXERS LETS GI
531530827_397473114776678400 x	RT @Winless4Wiggins: The 49ers are ready to cut Nnamdi Asomugha lol
531530827_397468605866319872 x	RT @SportsCenter: THIS JUST IN: 49ers are waiving CB Nnamdi Asomugha. (via @mortreport)
531530827_397465274267738112 x	RT @not_romo: BREAKING: Eagles morally obligated to choose Foles over Vick after watching ASPCA animal abuse commercial.
531530827_397464488037089281 x	RT @jp_crawford: Lol so many football players swear there going D1 ?
531530827_397185806856900608 x	RT @_NBA_Battles_: ReTweet for JR Smith Favorite for Jamal Crawford http://t.co/rJpZztxEtj
531530827_397185469626466304 x	I still feel like i have a paintball mask on and i swear im wearing paintballs explode
531530827_397184100370755584 x	Never been so happy to be in my soft warm bed
531530827_397150662452314112 x	Raiders suckkk
531530827_397135840906055680 x	On point
531530827_397092205346955264 x	Paintballing doeee
531530827_396984914413125632 x	Paintballing
531530827_396818154208649216 x	RT @CaraMorrell1: The 76ers 3-0 ???
531530827_396814587502530561 x	RT @BenRevere9: The sixers ain't playing around!
531530827_396717089496784896 x	RT @36westbrook: Go Nova Nation http://t.co/x3sLDHHvyB
531530827_396716642086158338 x	On the sideline of penn state they have the same chairs as we do in the caf
531530827_396711674591608832 x	Wow penn state sucks
531530827_396679442824970240 x	Hackenburg looks like tom brady in the pocket
