1643317423_397871732650176513 x	@Bethenny you have plenty to go around ! She has not even an eighth of what u have and im Not necessarily talking money; but class!!
1643317423_397871245603377152 x	@Bethenny but last thing is god bless her ex he was a good man! And may he RIP!!!!
1643317423_397871100681797634 x	@Bethenny yeah it is going to her brand! Her favorite Brand she cant always get! Which is jimmy choo! We all know she isn't fooling anyone!!
1643317423_397869650878676992 x	@Bethenny if she was serious she would have donated it to a chatity!! But only god and She will know what it was used for!
1643317423_397870131545927680 x	@Bethenny u are class she is not! If she fives it to charity then that will make me go on ur show and eat crow! But i GUARANTEE SHE WONT!!
1643317423_397869857829838849 x	@Bethenny some may have gone to a good cause but i know she bought a nice. Dress with some of it! And a dinner and some more clothes! LoL!
1643317423_397868896201736192 x	@Shondrella @OMAROSA i do like these words! Just hope you Omarosa get it and follow it!!
1643317423_397868698209632258 x	@sikivuhutch @OMAROSA @LAProgressive my name is  karin & you omarosa need to sit and get off twitter and really just focus on bein a pastor!
1643317423_397868286609997824 x	@sikivuhutch @OMAROSA @LAProgressive twitter is ridiculous and so are most if these fake people! Real pastors dont have hate! They fix!
1643317423_397868000692670464 x	@sikivuhutch @OMAROSA @LAProgressive you are full of hate!! And im on someones twitter page case i dont have one and i am a black woman !
1643317423_397867817544220672 x	@sikivuhutch @OMAROSA @LAProgressive y'all need to just stop!! And Omarosa arent u a pastor now?most take the high road!& dont get negative!
1643317423_397867093179514880 x	@sikivuhutch @OMAROSA @LAProgressive always about RACE!!!!
1643317423_397867045725171712 x	@sikivuhutch @OMAROSA @LAProgressive whaaaaat?
1643317423_397770829330915328 x	@theviewtv jenny i saw a movie u did it was great i forget the name but it u starring in it and you were very versatile and funny!! Stay u!
1643317423_381179434281492480 x	@thepeoplescourt love the show!
1643317423_397770511281053696 x	@theviewtv jenny mcarthy is such a great pick for the crew of the view! .... Kathy G was a good guest and Babs sad that ur leaving!
1643317423_397767340127166464 x	@Bethenny ill answer ur question now! When ur with someone for so long u get used to sayin/yellin the name! So no big deal! It happens!
1643317423_397766036222906368 x	@Bethenny
1643317423_397759808570654720 x	@Bethenny cont.... And now i now when ur career is a rock star is to be rebellious ( not kim K!) & they need to set examples tho!
1643317423_397759402121641985 x	@Bethenny the thing about the baked thing is - nikki said she cant do this at 60 so shes gonna do it now! Cont....
1643317423_397751504482103296 x	@WendyWilliams hahahahahaha!  Jay -z's husband!?? Haa!
1643317423_397747497814466560 x	@WendyWilliams oh an lastly good job filling in last min since u have a No show! But lessons learned! Always have a backup!! Never know!
