874382720_367426844834148352 x	@firebird287 back in school soon! Great job today!
874382720_350203783017541632 x	@firebird287 hey! Hope summer is going well...but not too hot
874382720_348792039829274624 x	Message to the kids: talking during movie #notswagatall. Good thing #hardyhigh would never dream of it
874382720_348792686418997248 x	But for real - almost had to give demerits out at world war z....next time I'm coming with sorry cards. @_msrossboss @MsMahaney205
874382720_348838288385245184 x	@firebird287 no way - I'm making movie theaters better for everyone!
874382720_347844851758424064 x	@firebird287 be at school at 1030
874382720_347646937589235713 x	Last day of school!..but I'll miss the kiddos (after I get a little break) @__lilbub @sharworld_ @Queen_Emanii @josdogx809 @Thatkid_jordan2
874382720_347719405494468609 x	@firebird287 @_msrossboss @MrD_History @MsMahaney205  thanks - have a great summer!
874382720_315404355366957056 x	Spring break!!! Make sure you still read somethin @Thatkid_jordan2 @Natori_Price @__DeeWade__ @Jontae15 @MsMahaney205 @_msrossboss
