25110374_394306482231312384 x	You are born into a cycle of giving and receiving. BE CONNECTED. Meditate on Union.
25110374_340848205044535297 x	Global warming caused by the cows farting. Who knew that? #unreport
25110374_399253574481637376 x	Things turn out the best for those who do the best with the way things already turned out. GO!
25110374_266730700261163008 x	Thanx Macys 4 allowing me 2 help lead a charge 4 diversity in Mens design.  #Argyle Culture http://t.co/e0rKAJWJ
25110374_339829735460859905 x	Life's goal? Enlightenment. Practice needing nothing, but if we pursue anything it should be freedom from attachment to results
25110374_383599422250426368 x	Those who live fully in the present have no harmful thoughts and cause no harmful actions #yoga
25110374_353652365208981504 x	Mistakes only cost you when you don't acknowledge them
25110374_275092265209311232 x	The key ingredient to any kind of happiness or success is to never give less than your best
25110374_398524314762231808 x	Imagine God an Ocean and u a cup of that same God. #Union
