1458736447_396046670125101056 x	Lien gets u no where in life
1458736447_396046557805813760 x	That's some bitch ass shit
1458736447_396046486561361921 x	What I look like fighting a chick
1458736447_396046342730285058 x	???
1458736447_396046141953146881 x	only an immature nigga will lose his down ass chick ???? Fucking with a clown ass bitch
1458736447_396045894631821312 x	A real man don't argue wit chicks
1458736447_396044487497359360 x	RT @Isis_Sade: FEEL SO LEFT OUT
1458736447_396044399811264512 x	Niggas Be Tweeting Like Chief Keef But Texting Like Drake
1458736447_396039665578672128 x	????
1458736447_396039629419593728 x	A haunted house got me ????
1458736447_396038663303622657 x	Back in the day every chick said there name was Keisha
1458736447_396037630997323776 x	?@teish_money: @Chipped_Nigga that's how I'm going be wen I get ma phone but I think becuz ma phone is Hit#!?lmao
1458736447_396037343578451968 x	?@Kya_Weatherly: Idk Which Shoe To wear? #HELP http://t.co/O85H5jOuiX?u cool went them on ???
1458736447_396037600873807872 x	?@Kya_Weatherly: @Chipped_Nigga ? I'm being serious?the Tim's my nigg
1458736447_396035887924269056 x	Pimp your ride #Lance210 ???? https://t.co/L0rAloKnJs
1458736447_396035792143151105 x	Fitting rooms? #Lance210 ???? https://t.co/TYolZSyepO
1458736447_396035312188928000 x	Scare cam ???  https://t.co/BkjsybZu2N
1458736447_396035208790962176 x	Oil cam on Vince Diventura ???? #oilcam  https://t.co/WoWBNJLdQQ
1458736447_396035087013527552 x	Scare cam on my Grandmom, omg I'm dying ??? #Lance210  https://t.co/ELO2TYUmjY
1458736447_396034945820667904 x	I can't stand when parents do this.. #Lance210  https://t.co/mGaEUc8gzq
1458736447_396034259049512960 x	How to creep the fuck out it people *Dressed As A Girl* ???? https://t.co/TqzKElg88Q
1458736447_396033968396828673 x	Always that one person that over exaggerates about everything ????? https://t.co/ffQ9YOjDpK
1458736447_396033345177804801 x	Vine got me in ????
1458736447_396032865827586049 x	It's my money and I need it now ???????????? https://t.co/c8JBGLdxus
1458736447_396032642241818624 x	The feeling when you get a new phone ??? https://t.co/LkkBwo18st
1458736447_396032063931158528 x	?????? https://t.co/6pzgiLaaxA
1458736447_396031983224373248 x	??? https://t.co/7X1Vrmzulx
1458736447_396013926741463040 x	Factz ??? http://t.co/gCqeUSWqFb
1458736447_396013082457432064 x	RT @Keishashanelle: F?ck cancer http://t.co/b366dbDp7L
1458736447_396012947170148352 x	@OffsetYRN YRN2 need to hurry up
1458736447_396012821261320193 x	@LilOceankid @OffsetYRN @MigosATL
1458736447_396000244410101761 x	? http://t.co/XNFoeq5xHx
1458736447_395962392112537600 x	@drebucks yo bull
1458736447_395906772525137922 x	RT @teish_money: Herr's hot chips bang. Yum.
1458736447_395906673082384384 x	If u fuck wit them rats I can't fuck wit u
1458736447_395903765339181056 x	?????? http://t.co/fqI7D50J8Z
1458736447_395899511673217024 x	?@drebucks: NIGGA! @Chipped_Nigga  https://t.co/ONuhoDJkyO http://t.co/8P9b8Fz8I4?oh shit ???
1458736447_395881822271590400 x	Don't have a baby by a nigga unless u plan on being wit him for life
1458736447_395881440262770689 x	Bitches be mad when niggas don't fuck them no more
1458736447_395877093827170304 x	?@ashaedenise: These ugly bitches is really boosting my ego????
1458736447_395874992665403392 x	@Exotic_Budd I'm missing them brownies ???
1458736447_395876028658503680 x	?@Exotic_Budd: @Chipped_Nigga what chu got on my stack nigga? ??? http://t.co/DSANoajY2h??????
1458736447_395877002018050048 x	?@Exotic_Budd: @Chipped_Nigga ??? you got problems?I got brownie problems
1458736447_395876558705262592 x	RT @S__Dot2U: Bout to get a half a sleeve done bout that time for some new ink???
1458736447_395876498781261824 x	RT @Exotic_Budd: ?@Chipped_Nigga: whats a definition of a ridaaa? someone who always rides and never ask questions or afraid of the consequ?
1458736447_395876300839477248 x	Fat shit
1458736447_395876248775557120 x	She made my day ???
1458736447_395876184279756800 x	I love Meana
1458736447_395876095494725632 x	RT @ashaedenise: Ain't nothing all good when you all broke
1458736447_395875973490835456 x	RT @PiscesAreUs: #Pisces wants the kind of sex that drips with passion.
1458736447_395875473903071232 x	whats a definition of a ridaaa
1458736447_395874772590297089 x	RT @PiscesAreUs: #Pisces <<== Supa Freaks ;)
1458736447_395861019731718144 x	?@grant_dre: Hungry.....whr da food at????
1458736447_395864548965875712 x	?@grant_dre: @Chipped_Nigga sup bruh?chill man wassup
