428526956_392473214342807552 x	RT @mthun3: @HockeyMeesh The #Pens are 0-1 since the duck left.
428526956_392472979763769344 x	3103 is filled with weird old ladies
428526956_392467790025605120 x	What about love? What about our promises? @Jeffisme @J_Bash32
428526956_391779457075142657 x	@BritKayMilligan http://t.co/TsEn7khB4R
428526956_391782058722197504 x	@BritKayMilligan http://t.co/TJ5DfHg7ZE
428526956_392134671749767168 x	@BritKayMilligan politics are for wierdos
428526956_392151215586299905 x	@BritKayMilligan noooooo
428526956_392154831361568768 x	@BritKayMilligan i hate you so much right now
428526956_392367842978312193 x	@BritKayMilligan writing on someone's whiteboard is not a prank
428526956_392380007563030528 x	@BritKayMilligan why would you steal a whitboard?
428526956_392381403083448320 x	@BritKayMilligan I didn't I was absent this weekend
428526956_392382923946483712 x	@BritKayMilligan that sucks
428526956_392380377169281024 x	@BritKayMilligan probs Jeff
428526956_392381942349307904 x	@BritKayMilligan *shrug*
428526956_391783320507269121 x	@BritKayMilligan http://t.co/lUBkn38zKA
428526956_391783049798500352 x	@BritKayMilligan http://t.co/tCqKK8gjze
428526956_391782887919345664 x	yes Red Sox good excellent #baseball
428526956_391782509627064321 x	RT @BizNasty2point0: Save your energy guys, I got this one. Hey @BizNasty2point0, your goalie has more goals than you. #YouSuck #Plug
428526956_391398468310540288 x	RT @coslive: ICYMI: Preview Arcade Fire?s new song ?Afterlife?: http://t.co/hc5URbVqvY
428526956_391398365625610240 x	Already seeing March Madness commercials are you serious
428526956_391397658851823616 x	RT @Buster_ESPN: 9-0. Coincidentally, according to 10.03 (e), that's the official forfeit score. http://t.co/nid4LA0KAH
428526956_391396872163975168 x	RT @ArcadeFiretube: IS IT A DREAM? IS IT A LIE? I THINK I'LL LET YOU DECIDE!
428526956_391396771265785856 x	RT @MLBNetwork: RT for a chance at an @MLB game-used ball from tonight's #NLCS Gm 6! Visit http://t.co/IAz2Noa8ML to bid on #postseason gam?
428526956_391396679498604544 x	RT @Vice_Is_Hip: Is Google Earth a racist plot?
428526956_391198007472836608 x	"Oh, the Austin Mahone concert got cancelled? I was looking forward to that so much..." -Nobody
428526956_391193842592268288 x	RT @everyword: titillatingly
428526956_391079193376604161 x	RT @QuotingWes: 'I'll be out back. I'm going to find a tree to chop down.' #MoonriseKingdom
428526956_391043439732617216 x	I hate intaglio
428526956_391042927113162752 x	@Jeffisme @BritKayMilligan @ShardayLyn @J_Bash32 o god what happened
428526956_391004710452211712 x	A @hockeyfights iOS app would be nice...
428526956_391017104180117504 x	@hockeyfights ah, bummer...
428526956_391002590181203968 x	"Geno make great shot" I love you jussi
428526956_390989049755729920 x	RT @NHL_Battles: Retweet for Tuukka Rask!            Favorite for Tim Thomas! http://t.co/2dZxtSGCi8
428526956_390978493992816641 x	RT @J_Bash32: How many flyers careers will be shattered by the pure destruction of a #ScuderiHipCheck
428526956_390977542053572608 x	#ScuderiHipCheck
428526956_390977350977875969 x	RT @Evil_Shero: Always a classic. #Penguins #Flyers http://t.co/Kgjf3O2HbO
428526956_390976980230758400 x	RT @rushmoreacademy: Take your hands off my lobby boy!
428526956_390951853233418240 x	RT @EngellandsEye: I've got something very special for you all tonight! And it has nothing to do with playing wing. Stay tuned.
428526956_390933375046787072 x	RT @RealDanaHeinze: Defence http://t.co/4DqOM9E0KB
428526956_390933325512065024 x	RT @RealDanaHeinze: Penguins Goaltenders http://t.co/4fbBEfHDLJ
428526956_390933249372848128 x	RT @RealDanaHeinze: #14. & #71. http://t.co/a9tNsQDveW
428526956_390916863443890176 x	#BlameDan
428526956_390916747957927936 x	@BritKayMilligan @Jeffisme @J_Bash32 it was Dan
428526956_390890944763293696 x	RT @SouthPark: #BehindTheScenes Check out this old-school design of Radiohead from our archives: http://t.co/74Qi5FsHiy
428526956_390877615545806848 x	RT @HockeyFans24_7: Rask vs. Thomas tonight #GoalieBattles  RT for Rask Fav for Thomas
428526956_390866396130734080 x	RT @RealDanaHeinze: Extra Gloves - every player has two pairs of gloves with them at all times - even if they only use one pair http://t.co?
428526956_388850586378334208 x	@KacyEdelmayer first rule of twitter: don't road rage tweet while driving.
428526956_390652840903192579 x	RT @SouthPark: This intense specialty shot of zombies crawling up the building required unique setup, textures, & character design. http://?
428526956_390650863863087104 x	?@KaaayFrances: I am never full. I think there might be something wrong.? Tapeworm
428526956_390650727108206592 x	RT @LifeAdviceLamp: If you're going out bring a fannypack to hold your swag.
428526956_390580157989150720 x	RT @PenguinBrain: Fact: I text the Penguins text robot more than a lot of my friends. #ItTextsBack #32623
428526956_390579985641005057 x	RT @SouthPark: No new episode tonight, but we WILL be airing "Scott Tenorman Must Die".  And we'll be LIVE TWEETING it. #SouthParkBlackout ?
428526956_390579916695011328 x	RT @Rotoscopers: [ICYMI] [NEWS] 'Toy Story of Terror' Airs TONIGHT!   http://t.co/fBoAW6xjqJ
428526956_390506080163205120 x	@Jeffisme dick
428526956_390277312773496832 x	@Pittsburgh_Dad would wear Baltimore purple if threatened with a #ScuderiHipCheck
428526956_390276560898387968 x	?@HockeyMeesh: Guy in my section yelled ?shoot it? 11 times before that shot was taken.? @J_Bash32 ?
428526956_390272751358836736 x	great warriors quake with fear at the mere mention of a #ScuderiHipCheck @J_Bash32
428526956_390269683166752769 x	#ScuderiHipCheck strikes fear into the hearts of men
428526956_390268060382154752 x	RT @HockeyMeesh: Just a thought: when whining, try to be funny at least.
428526956_390266972882997248 x	?@tbhplzdont: occupation: princess? the job market must be terrible
428526956_390266643453968384 x	me watching season 1 finale of Dexter http://t.co/FUTiDrODhY
428526956_390266200543879168 x	@J_Bash32 are you annoying people behind you by getting up for a beer every ten minutes yet?
428526956_390264325203451904 x	@matthewmcclr http://t.co/Q9RN5NY7up
428526956_389931255552167937 x	@Spinster_Jones http://t.co/47ZFH5mOEc
428526956_389835713078116352 x	RT @ifcportlandia: The space needle, oooooo like we've never seen that before.
428526956_389833055617429504 x	*Insert quote from last weeks episode* @SouthPark #retweetplz
428526956_389832597540732929 x	RT @mrbobodenkirk: SET YOUR DVR'S for FRIDAY at 10:30 IFC...oh, also, you have to pay for IFC first.  Sorry. http://t.co/5koZU7a1Z2
428526956_389814002395914240 x	RT @penguins: Kobasew likely to fill in on Malkin-Jokinen line if Bennett is out, per Bylsma #Pens
428526956_389594337677295616 x	RT @fsmikey: The world famous Banksy sold art on the streets of New York and no one even noticed http://t.co/1xCWPBK6pz
428526956_389509071109255168 x	RT @coslive: Daft Punk's Random Access Memories reportedly getting deluxe box set, featuring unreleased music: http://t.co/gbgwFcW1id
428526956_389472629309984770 x	Cowher is calling Phil Simms on all his shit and I love it
428526956_389465646422958080 x	First halftime lead, first takeaway of the year. @CowherCBS is our good luck charm. @steelers
428526956_389271749612679168 x	"Rob Scuderi and Fleury are like Linus and his blanket."
428526956_389212581660864512 x	Every time someone I know gets an iPhone, I look at my dumb phone and feel an intense amount of shame/sadness...
428526956_389212262184919041 x	@J_Bash32 Thankskilling
428526956_389206787280216064 x	RT @Evil_Shero: Nisky!! http://t.co/fYgCC3OyPJ
428526956_389200194031452161 x	@PearlJam so touching...
428526956_389195014242185216 x	@skardasz so deep
428526956_389197650433540096 x	@skardasz it's true. The French ones even stink more.
428526956_389194768279805952 x	RT @Evil_Shero: St. Louis was bound to have a great game, he was busting his ass during warmups today. http://t.co/s2Xx8xKGUK
428526956_389185126187290624 x	@J_Bash32 barf
428526956_389087899762712576 x	@LechALection you only throw them cause you cant beat me
428526956_389143340068786176 x	@LechALection remember that time i beat you in 5 games in NHL...
428526956_389155959618035713 x	@LechALection it happened
428526956_389087410996269056 x	RT @WorseThanCrocs: Subtweets... Are Worse Than Crocs.
428526956_389059782750912512 x	RT @JesusIsAJerk: rt if your boobs glow in the dark
428526956_388894041670053888 x	I'm here, and i'm CHURNT
428526956_388893934140674048 x	RT @mimimuffins: I'm sooooo turnt
428526956_388851455144128512 x	@KacyEdelmayer haha ok then
428526956_388844880388046848 x	RT @Evil_Shero: Get well soon Vokoun #92
428526956_388839666499080192 x	#nofriends
428526956_388839388257329152 x	RT @J_Bash32: Tweet because i want retweeted#nofriends
428526956_388838907304882177 x	RT @Evil_Shero: Duper! http://t.co/KE1ZzNnXfa
428526956_388838735954976768 x	RT @EASPORTSNHL: RT because the #NHL14 Roster Update is LIVE! http://t.co/0TOGLHqmF1
