22412376_374002771454070784 x	Gino's or pats? I'm getting mixed reviews.
22412376_389124797936197632 x	@DJTayJames guess what, you can shut your fuckin cake hole too. I'm done bothering with you fuckin tools.
22412376_389170453593341952 x	@heavenbiebsss yeah :( only 18 million. i should probably commit suicide.
22412376_389173759598272512 x	@drunkdrxws you guys gunna come and rob me or something?
22412376_388602086600245248 x	Alright! Off to the airport I go! Seeya tomorrow MEXICO! gotta make a quick stop in Seattle first tho, to get a doghnut.
22412376_388602921019265024 x	@kiss925toronto cheers!
22412376_388604052361465856 x	.@kiss925toronto my good looks and witty charm so I can bullshit my way into exec class from an economy ticket.
22412376_387632997924495361 x	yeah, after listening to this track, i gotta redo it. i mean... im sure this versions playable... i just think i can do a better job. maybe.
22412376_387631068129411072 x	fuggit: https://t.co/ULT9g9m59E
