232736812_267786139715379200 x	Missed extra point..... Eagles special teams on fire today!
232736812_267780293597986816 x	Special teams and def not helping... No worse than Vick RT @MikeMiss975: Hate to say it, but foles is a little outclassed right now
232736812_266665598631694336 x	RT @Zagat: Philly Burger Guide: The Best Burgers in 12 Neighborhoods ? http://t.co/uZOSI9kv (cc: @GoogleLocalPHI) #BurgerWeek
232736812_265652069132800000 x	RT @MikeMiss975: With eagles talk officially over, im letting folks know that i'll be reading names from the phone book for the rest of  ...
232736812_265644111237877761 x	RT @LesBowen: Might be time to fire Juan again...
232736812_265637760382152705 x	Oh boy..... The turnovers continue
232736812_250008480407240704 x	RT @LesBowen: Lethal combination: Confused, overmatched o-line and quarterback who takes forever to sort stuff out.
232736812_249987577506054144 x	Andy/ Marty don't run the ball period RT @Tim_McManus: Eagles with 19 passes, 8 rush attempts in 1st half. Averaged 5.3 yards per carry.
232736812_249973868872204288 x	After this AZ challenge, 11 eagle turnovers this season.... Blah
232736812_249969147696541696 x	Ouch, that's 10 turnovers for the eagles so far this season
232736812_249708978748141569 x	Might finally get an official ICS build RT @engadget: Motorola feels Droid Bionic owners pain, promises to fix things - http://t.co/mIJxVGTG
232736812_249545600226451456 x	RT @droid_life: Motorola Updates Ice Cream Sandwich Timeline ? Bionic and Xyboard 8.2 Officially Pushed to Q4 - http://t.co/mP8pRuRl #an ...
232736812_248986447305134080 x	Where has that been all season? RT @JSalisburyCSN: Instant Replay: Phillies 16, Mets 1 http://t.co/D3CFmpnH #PhilliesTalk
232736812_247481905040224256 x	Wonder if Flacco gets fined for ref comments?
232736812_245709710576214017 x	Was that Rudy that the camera kept cutting to? #phillies
232736812_245695391989915648 x	RT @Grantland33: BQBL: Brandon Weeden makes his glorious arrival, by @Jacoby_ http://t.co/TTZ9aHNa
232736812_245112196693102592 x	Good stuff RT @jweidner18: How To Run Your Meetings Like Apple and Google http://t.co/6r2SRwxw via @99u
232736812_228825358311497730 x	RT @Matt_Hawk: 100 words that kill your proposal #smps #proposal http://t.co/N88YHoVs
