39373816_304440342281871361 x	@LBT3 is this true?!
39373816_177412382656692224 x	Sick, but spending my morning taking midterms :( #hurryupspringbreak #stinksonice #gross
39373816_175608092967448577 x	"The LORD is my strength and my shield; My heart trusts in Him and I am helped;" -Psalm 28:7 :) #theLordismystrength #lovetheLord #Godisgood
39373816_174331130735116288 x	I love dance. I miss being a ballerina sometimes. #imissdance #ballerina
39373816_174480844885458944 x	@LBT3 Free time?? "Sounds like someone I uses to know..." ;-)
39373816_170167228786937858 x	Our ride into Dallas:) #Philadelphiaeagles #Dallas #Texas #airplane http://t.co/UGYfgphq
39373816_170293397515542528 x	@LBT3 it was really cool!!! :)
39373816_170519168855183362 x	@LBT3 you will get more today, promise!:)
39373816_167975136581001217 x	@BOOKERTC MiSungHi ?? Lol!
39373816_167985455491584000 x	@BOOKERTC Haha! "Is a gentleman with a BROSTACHE invited to this party?"
