65713011_14268216199 x	yay for ridiculous parents
65713011_13945422171 x	never easy, never right, never understand, and never know why
65713011_12798145834 x	what the fuck is wrong with me
65713011_12374843458 x	ughhh i hate people
65713011_12320439104 x	today was a pretty damn good day
65713011_12258853969 x	@melinaroldan is gay and stays up way past her bedtime
65713011_12076620171 x	ughh parentals need to chillllll
65713011_9107169550 x	@melinaroldan you guys must have the wrong game
65713011_8738038803 x	boreddd as hell, why are gibbstown people such bums =P
65713011_7720541432 x	kyles gay
65713011_7321857666 x	feel like my heads gonna explode, goin to bed
65713011_7256996514 x	amazing movie, even though i kinda feel like an asshole now
65713011_7137604150 x	@kylenj youre cool
65713011_7095800940 x	hockey at 1:30 then chillinnnnnn
65713011_7075668875 x	kyles computer is nuts
65713011_7068572153 x	soooo boredd. whatsup today?
65713011_7062932712 x	mall for awhile, text meeeee
65713011_6984340793 x	just got back from baseball pretty beat. looks like a cod night
65713011_6942454697 x	pats ass at nhl
65713011_6907387255 x	@melinaroldan i had to do that the other day too hah
65713011_6874674017 x	anything goin on tonight?
65713011_6809944602 x	christmas party tomorrow is cancelled thank god =]
65713011_6778872641 x	mini pool hates me
65713011_6717309655 x	what is up with strange loud noises in gibbstown?
65713011_6688655142 x	drunk dudes in cap'n cats are soo hilarious
65713011_6684055061 x	phillies are lookin kinda retarted right now
65713011_6614731924 x	whatever anymore
65713011_6610046729 x	possibly the gayest hockey game ever. anything goin on tonight?
65713011_6604868218 x	boreddd as hell. someone text mehhh
65713011_6591657600 x	wishing i could sleep right now
65713011_6590189338 x	weird moood. bed soon i guess, hockey game tomorrow
65713011_6443721486 x	parents are retarted
65713011_6412039750 x	tiger woods wii golf is insane
65713011_6407511855 x	just got back from hockey, pretty beat prolly chillin all day
65713011_6379549416 x	bored as hell, this snow sucks
65713011_6287747923 x	whatevskisssssssss
65713011_6175032929 x	what to do today ...
65713011_6156862209 x	boo0o0o0o0o0o0ooreeeeeeeeee333333333ddddddddddddddddd!!!!!!!!!
65713011_6154135487 x	playin some wii with kyle in the garage
65713011_6126015360 x	anyone wanna chill for a little tonight?
65713011_6123428596 x	just got home from the game, flyers lost of course =P. not feelin so great now
65713011_6119335912 x	at the flyers game with kyle
65713011_6098298347 x	playin wii in the garage with a disco ball =P
65713011_6090608619 x	at my aunts house with the family. old people talkin bout twilight ... =P
65713011_6035877817 x	@HallePinz hahahah gotta love gcit =P
65713011_5995707851 x	good mood for some reason, homework and flyers and bed
65713011_5986571099 x	wow my bus driver would take the longest possible way to gibbstown
65713011_5949817675 x	just got back from baseball. chillinnnnnnnnnnnnn
65713011_5929757033 x	pretty friggin boredddd
65713011_5921696990 x	puttin up christmas lights and stuff. nothing to do today, anyone want to chill?
65713011_5898801839 x	@KyleNj meeeeeeeeeeeeeeee
65713011_5840969688 x	havent tweeted in awhile, really friggin boredd
65713011_5740926720 x	soo nice out, watching football outside. anyone wanna do something today?
65713011_5699923487 x	scramblin mad eggs and light dudes up like christmas trees on cod with kyle.
65713011_5694781462 x	baseball till 9. text it
65713011_5667750864 x	flyers <3
65713011_5649785313 x	@hallepinz where ?!
65713011_5598586002 x	mall in a few. text it
65713011_5576473917 x	on my way home. feelin like an asshole
65713011_5541230253 x	just got home. anything goin on?
65713011_5521412712 x	people suck
65713011_5519702789 x	fun gibbstown night ...
65713011_5511819701 x	@10coleman tell me what he says. just text me
65713011_5511679386 x	@10coleman he didnt answer
65713011_5511431467 x	@10coleman can he play?
65713011_5511315663 x	@10coleman i think its me you joel kyle ant ty and cooch so far
65713011_5511281334 x	@10coleman at like 2
65713011_5511216477 x	@10coleman hockey today?
65713011_5510623674 x	home alone all day. whats goin on?
65713011_5484593891 x	@jantipuna6 finally
65713011_5482430174 x	finally home
65713011_5457961608 x	if i have to see one more statue im gonna freak out
65713011_5438165409 x	@HallePinz they arent lookin so hot tonight =/
65713011_5431853099 x	ankles killing me, im soo tired, wishin i was home.
65713011_5420928794 x	feelin like a 5 year old playing super mario on my way to washington =P
65713011_5380105894 x	@jantipuna6 wow you guys are ridiculous.
65713011_5379910389 x	@jantipuna6 hahahah wow
65713011_5379654343 x	@jantipuna6 yankees fan in disguise?
65713011_5379615555 x	@KyleNj geez leave him alone maybe hes cold
65713011_5343848773 x	yeahhhh eagles
65713011_5338650878 x	@jantipuna nahh you didnt miss anything we barely did any work. and yeah he did. i was scared
65713011_5338610038 x	@jantipuna6 nothin good just watched the phillies game
65713011_5338573740 x	@jantipuna6 i thought you quit twitter?
65713011_5315909703 x	yay rain on halloween =P
65713011_5298653950 x	boredd nothing to do as usual. text it
65713011_5276177211 x	blahhh =/. phils then bed
65713011_5264337704 x	shortbus !@#$
65713011_5248879863 x	@mcos009 hahahaha wow
65713011_5217433590 x	alex semin is sooo nasty
65713011_5176708008 x	im a big fat loser and i wish i was as cool as melina.
65713011_5086538328 x	wow really. take out john lackey? great idea angels
65713011_5081467892 x	ughhhh blahhhhhhhhh.. playing nhl and watching the yanks later
65713011_5058050512 x	feelin real old, best birthday in awhile tho. phils then bed
65713011_5053338365 x	just got back from practice. dinner and chillin and stufffffs
65713011_4977228767 x	haunting in connecticut is friggin creepy
65713011_4933768469 x	tired, headache. goin to bed
65713011_4928959530 x	soooo bored. anyone wanna do something?
65713011_4927402520 x	chillin watchin the phils. whatsup tonight?
65713011_4902103184 x	@HallePinz Beat some ass !!
65713011_4872428238 x	legs are killin me. finally home
65713011_4846433856 x	goin to get a haircut then ton of math homework. text
65713011_4844933052 x	@melinaroldan including you =P
65713011_4820894946 x	chillin watchin the phils, they better win
65713011_4814484705 x	taco bell with joel. text it
65713011_4812570641 x	chillllllennnn dude
65713011_4790166399 x	love how my mom makes me clean my room on a beautiful day
65713011_4787769194 x	outside watchin the eagles. anyone wannna do something?
65713011_4774787179 x	napolean dynamite lmao
65713011_4768311705 x	@melinaroldan hhahahahhahahah oh my god =P
65713011_4768029780 x	just got home from cross country. chillin, whatsup tonight?
65713011_4763276203 x	@KyleNj nahhh dude i save that for you
65713011_4763125629 x	@HallePinz =)
65713011_4763072806 x	@HallePinz cause they thought we were the soccer team =P
65713011_4762805842 x	@HallePinz you too! we have a short bus =P
65713011_4762733223 x	@KyleNj nope
65713011_4762692816 x	@KyleNj its ok dude i still love you
