48581688_398592071914639360 x	#FF @LilChase26 @corrado_19 @BroadStPhanatic @MrsPhanatic @80PhiIIies08 @CmonPhillies @BroadStBeat @08kathymcc @TomThePhillyFan
48581688_396069255382200320 x	#FF @LilChase26 @Houda_Cash @CarolBoyle2 @08kathymcc @AaronAllen227 @rachelsagekunin @ElenaRamosFans @TheElenaRamos @zmax31
48581688_396057614221471744 x	@LilChase26 awww, little guy, you look like you had a lot fun trick-or-treating! Wanna share some of your loot?
48581688_393497742095290368 x	#FF @pattydrake2 @ISISDaWonder @margaret_711 @jessauf @JessiDreamer17 @LilChase26 @corrado_19 @BroadStPhanatic
48581688_393163180291002368 x	@LilChase26 Are you watching the World Series? If so, who are you rooting for? I want #RedSox b/c of Shane!!
48581688_392471991560585216 x	@LilChase26 @ForeverFlyers28 You look awesome in a Flyers jersey, little guy! :D
48581688_390972225584525312 x	#FF @LilChase26 @corrado_19 @BroadStPhanatic @BroadStBeat @Flyers_pics @FlyersNation @PHISportsPhans @80PhiIIies08 @arwphitinphils
48581688_390274955910205440 x	I miss my Phillies twitter buddy, @LilChase26! His tweets and pics are too funny!
48581688_390292908013654017 x	@LilChase26 @MrsPhanatic awww, you look adorable in the jersey!
48581688_390292634838642689 x	@LilChase26 Woo Hoo! Thx! I miss the Phillies too!
