29310765_327060411184734208 x	@kayishaTTR i jus clicked it and it went to the store, what happened when u clicked it
29310765_327064679014883329 x	I know @kayishaTTR workin on something....... #teamHeavyHustle
29310765_326917475801366528 x	Where is @kayishattr .....she never sleeps, always workin!
29310765_326536342995628032 x	?@kayisha28_: @DutchDollaz Broken wallets = broken hearts! Lol ..but Tru? #ErydayB
29310765_326706344998629377 x	@kayisha28_ you aint sell out, you just joined the next powerhouse!! @TTeNetwork !!!!!!
29310765_326704539753410561 x	?@kayisha28_: Yea.. u making me feel bad. Lol @DutchDollaz @DutchDollaz? why, you one of the hardest workin directors on my staff!!!!
29310765_326683589934723072 x	?@kayisha28_: @DutchDollaz  Good morning? yo killa! Lol
29310765_326641693698965504 x	Goodmorning
29310765_326511629355339776 x	Niggas crying over heartbreak...... Let ya stock portfolio take an 13% hit! You will learn what inner pain really is!
