359089113_398257847202742272 x	@Powersplint1 No
359089113_391727692611338240 x	RT @LewDewd: Next Beats add.. @TrainerJoeO http://t.co/idWqqhxsoc
359089113_391322399142342656 x	@proatc
359089113_383664059599835136 x	RT @Cramer_Neal: Proud that my children's school has an ATC to provide awesome care. Two major injuries @ JV football last night and our AT?
359089113_369268094868676608 x	RT @ConnorBarwin98: Camps over! Huge thanks to all the trainers, ball boys, equipment staff, Paul, Karen, and everyone else involved in a v?
359089113_285525311129538560 x	RT @MikeRyanFitness: NYG class org! RT @proatc: SO to @NYGiants for having 400 family members on the field 1 of the coolest things I hav ...
359089113_277481694561435650 x	RT @BrentCelek: http://t.co/DdX8j8LR
359089113_273986512209727488 x	RT @LarryFitzgerald: I bought 3 tix for #powerball. RT this & if I win I will split it with YOU!! All RTs become partners on my tick ...
359089113_272454161969332224 x	RT @derek_boyko: @miketirico taking an imPACT test today at the NovaCare Complex under the direction of @proatc http://t.co/ajJPxLTU
359089113_272451926912823297 x	RT @miketirico: @eagles taking great care for short and long term health of their players.
