332638587_366650527938908162 x	Who will live? Who will die? #BreakingBad
332638587_380817047309287424 x	Wanted to share my wife's first talk about Kind Campaign. Please note how adorable her ears are.  http://t.co/44zbGSaMGE
332638587_394289859747008512 x	Prescription medication commercials scare the shit out of me. #DeepThoughts
332638587_381817208021610499 x	Happy #BreakingBad day everyone! Prepare yourself. ?                   ??? http://t.co/gyPrOjuZOz
332638587_384474503297789953 x	Another pair wedged between the planter and shrubbery at Sunset Car Wash at Sunset and Hayworth. Go get 'em! #BreakingBad
332638587_369825802621165568 x	Just had the most amazing stay at @capellaixtapa in beautiful Mexico. I ate guacamole 24/7 and it was incredible. Miss it already.
332638587_379421999619010561 x	PROTECTED
332638587_384726160254332928 x	Jesse,  I love you and you will always be a part of me. Thanks for the memories.  Your friend,  Aaron
332638587_381850370135171072 x	I love you Vince Gilligan.
