19555067_396173303628308480 x	Still awake...?
19555067_396175237357645824 x	Eeeeee love it! RT @AftonStevensonx: @JordinSparks inspired by you? http://t.co/u78WphkKWr
19555067_396174305353924608 x	I had a chill Halloween. Spent it w/ my mom & cuz. Watched movies, laughed & painted our nails. ? #goodlife
19555067_392466464693047296 x	So now that I have everyone in my mentions....hiiiiiiiiii! :D
19555067_392974993271042048 x	Good morning! #currentmood http://t.co/8adJamut3T
19555067_391980833956839424 x	My church is incredible. I love my Pastor & I love the people who go there. Saw many people get baptized today! PTL! #comejustasyouare
19555067_384391088749826049 x	C'mon @AZCardinals!!!! #NFL
19555067_384083292196073472 x	Australia!! Take care of my boo while he's in Oz!! ?
19555067_340138490094313472 x	Good morning lovely people! :)
