2156281496_395762937828093952 x	RT @ASAPRockyTRILL: #RT if your mother is a blessing..
2156281496_395762369218875392 x	RT @OpTic_NaDeSHoT: Congrats to the Chicago Cubs for winning the World Series, these past 105 years had us a little worried... #JustKidding?
2156281496_395668318343811072 x	@OpTic_NaDeSHoT @OpTic_BigTymeR @OpTicScumpii  Buffalo Wild Wings #OpTicGrind
2156281496_395323808854605824 x	RT @MiamiHEAT: .@DwyaneWade: "(Tonight) is for our fans. We have to move on into our season, that's the mentality we have to take into this?
2156281496_395320932249526273 x	Heat all the way #BIGisON #OpeningNight
2156281496_395029653280149504 x	@OpTic_NaDeSHoT That would be AWESOME!!!!!!
2156281496_394239089710338048 x	@OpTicScumpii IW
2156281496_394239043782713345 x	RT @OpTicScumpii: IW vs. Treyarch - Which do you Prefer? http://t.co/Mv2VdfvXFe
2156281496_393998784255889408 x	Carrying @ReG_Laser @taylortoxic22
