420703735_391026326779744256 x	RT @BroadStBull: "Steve's standing on his head, keeping us in every game," Simmonds said of Mason. "It sucks for him because we're not supp?
420703735_391008886263934976 x	Holy shit mason
420703735_390997064811044864 x	@TheNamesJB what u think of vanck ?
420703735_390997244809601024 x	RT @The_HelenKeller: You had me at ".:: :.: :.. .:. .:."
420703735_390997120448462848 x	@TheNamesJB vanek *
420703735_390994113958805504 x	RT @BroadStBull: Paging Thomas Vanek. Paging Thomas Vanek. #Flyers
420703735_390922014221168640 x	@ooohEMMgeee perfect time to ask for a raise
420703735_390150540321378304 x	RT @tpanotchCSN: Sestito says when he was with Flyers he never knew what planet Bryz was on
420703735_389927806995824640 x	Is Woodhead killing every bodies Monday night ?
420703735_389533808665849856 x	@Chris5rogers grow up
420703735_389467490885304320 x	@Chris5rogers fuck u
420703735_389449475221364736 x	@MikeMiss975 this is why vick is the QB . Good Lord
420703735_389183277460099072 x	RT @DTMattSmith: Brandon Rogers recovers a blocked punt in the end zone and Haverford is up 21-0 late first quarter. #delcofootball
420703735_388747294830759936 x	RT @darrenrovell: On a $37 pink NFL shirt, the retailer makes $18.50, the NFL donates $4.16 to the American Cancer Society, keeps 46 CENTS ?
420703735_388505529137758208 x	RT @PhansofPhilly: Hey New York scumbags your football team is 0-6...
420703735_388499916689248256 x	This is where Eli is at his best under pressure
420703735_388483938882424832 x	@SandmanCJM same here
420703735_388485312365989888 x	@SandmanCJM who do we thank ? Our self for good drafting amd awesome coaching ? Or the Giant's for being so bad
420703735_388464107420405761 x	Good lord Eli Manning
420703735_387702837368848384 x	RT @darrenrovell: US tailgaters spend an estimated $20 billion on food, alcohol and supplies each year according to @foodydirect.
420703735_387345792102858752 x	Why is it this color out
420703735_387249033322180608 x	RT @TiqIQ: Laviolette on getting fired/Flyers management. #FutureLooksBright http://t.co/PPXnALCLlY
420703735_387012497112584192 x	All alone there's no here beside me
420703735_386944616387596288 x	Might need to get me a Boykin jersey that was sick
420703735_386291229933469696 x	I'm so glade it's still summer !
420703735_386247792366460928 x	RT @MikeWazNot_: Girls with thigh gaps ??  http://t.co/HA4OQp1iBr
420703735_386207940279296000 x	@975TheFanatic @MikeMiss975 looking like a young hurricane Schwartz .
420703735_386196200179122176 x	@DJcornyCorn yo got to bring @jamichael_23 he ssid he wants one
420703735_386197522194374656 x	@jamichael_23 @DJcornyCorn #meoo
420703735_386197491508862976 x	@jamichael_23 @DJcornyCorn he want a tat of a kitty cat
420703735_386195680597123072 x	I'm starting to think it's weird that me and miley cyrus rock the same hair cut #whosatfault ?
420703735_385928087340580864 x	All this money these pro QB get paid and that can't slid. What a terd there goes the browns season
420703735_385630687401107456 x	Why would u make there date?
420703735_385624658567233536 x	It goes around
420703735_385622338525757440 x	Yea I can't wait too pee with a boober
420703735_385548500584628224 x	Hartnel scores first goal
420703735_385548297823592448 x	The perdict mez has 55 points this year. Yea right . Hope that pussy stay healthy for 55 straight game's
420703735_385547856360505344 x	@FredR13 happy birthday
420703735_385546870724243456 x	RT @KevinHart4real: Quote of the day: "Sleep on me all you want....I'm Tip Toeing my way to success so I don't wake you" #Motivation #Comed?
420703735_385546220707782656 x	Watching movies in class . Should  be at the flyers right now
420703735_385494035911413760 x	@Flyers_sac damn , he's getting big.
420703735_385436836837208064 x	Someone tell Jack Sweeny to trade me McCoy!
420703735_385435324618670080 x	RT @PhansofPhilly: HAPPY #FLYERS OPENING NIGHT! TAKE 20% OFF OUR DEVILS BUS TRIP! PROMO CODE DEVILSSUCK..$79 FOR BUS, TICKET, AND MORE!!!! ?
420703735_385393889362075648 x	Since the government is off,  I won't have taxes taking out of my check this week right ?
420703735_385269052668915712 x	Just ate pretty good for my after work out routine that I just started when I realized I was eating something good for my body after hockey
420703735_385150987075584000 x	Its not me who ever runs late ppl get pissed at me when I say ill be there in 15 , and this mother fuck takin an hour shower #fuckwatches
420703735_384785908811452416 x	@BRabbits07 what the bitch neighbors
420703735_384527743029108736 x	Matt ryan breaking under pressure
420703735_384524449170870272 x	Fuck you tom Brady
420703735_384522958007697408 x	@theHouseofStark pouch kick wtf were they thinking
420703735_384514799088193536 x	@MikeMiss975 on the andy's red flag challange today for the Chiefs did they say Philadelphia will not be charge a time out ?
420703735_384487141092634624 x	Co.e the fuck on matt Ryan
420703735_384352567456956416 x	@Ianmurray7 yo bud what should I do here P.Garcon or A.brown ?
420703735_384352935029006336 x	@Ianmurray7 Gracon vs Oakland brown MIN
420703735_384342271279501312 x	So meek got mase on a track ?
420703735_383419831418372096 x	Lets go 49ers
420703735_383018023898324992 x	Mac Miller - REMember Lyrics http://t.co/uV7s5JQTJ1
420703735_383016915578683393 x	Can you plz help me find my friends ill give u anyhing multiplied by ten!  RIP jon RIP curly RIP REDS . To many to often
420703735_383015946858024960 x	Its a dark science wen ur friends start dying like how could he go he was part lion life goes on tears all dried up coiple years go by than
420703735_382979305024024576 x	WTF damn yo
420703735_382915771443458048 x	Another note there are these pretzel snaps . Its just a hollow pretzel?  Someone find out and let we kno
420703735_382915448746295296 x	It takes me forever to eat combos, I eat the the same way every time. Try to break the pretzel without messing up the cheese
420703735_382230443539857408 x	Kessel a lil dirt bag . Lost a little respect for him. Take the ass beating
420703735_382208863170097152 x	@n_scavello trader
420703735_382229977934348288 x	@n_scavello Boston an awesome town.. Quincy market got to go there
420703735_381914619318898688 x	I need matt ryan to get this ball back
420703735_381871398186385409 x	@n_scavello u get paid on Saturday ?
420703735_381871757969612800 x	@n_scavello that's what I ment.. damn that a good way to save money tho
420703735_381854985891622912 x	@jamichael_23 just witnessed a guy in a trench coat wip out a sock with 2 dollars in it and lick his money. #gunoffsafety
420703735_381503516743065602 x	Hell ya
420703735_381148636484501504 x	@SandmanCJM the eagles made u that sick
420703735_381074247625764864 x	RT @tpanotchCSN: I am told the Flyers and Bruins were the leading candidates to meet Caps in 2015 Winter Classic in Washington
420703735_381065688372490240 x	@crystaal_methh meatball size ? If that makes sense. Bigger than a quarter . Congrats on passing ur blood pressure quiz !!
420703735_381063097957748736 x	Just took on the world biggest spider
420703735_381035682221006848 x	Is smoking 6 cigarette in 40 minutes bad ?
420703735_380887269504479232 x	I want the eagles to do so well, i also want the flyers to win Lord Stanley's cup . #FLYERS
420703735_380868342099492864 x	Andy Reid has the biggest chod right now
420703735_380868260599963648 x	Can't win with this many turn over's fuck
420703735_380691930310782976 x	Who's all going to the eagles tonight ? Hit me up
420703735_380711589231345664 x	@SandmanCJM I don't get don't till 430
420703735_380711538492837888 x	@Whats_theDEALio we should meet up
420703735_380435799848005632 x	@MARY_p0pINs dope they were trying to leave that kid
420703735_380416923617734656 x	@DANNYSTEELEY do u play ice ?
420703735_380434738601000961 x	@DANNYSTEELEY yea thas what we do ever other Tuesday , let me know if u want
420703735_380417112684367872 x	@MARY_p0pINs what phone do you have ?
420703735_379695818611380225 x	What is the most annoying question u get asked ?
420703735_379584741915516928 x	Good day to just call out and sleep all day
420703735_379070655331074048 x	Like a said You can't win a marathon with bandaids on ur nipples
420703735_378969648622223360 x	RT @JonnyFootbalI: Someone call a fuckin plumber, I'm about to take a huge shit on Alabama.
420703735_378959831002263552 x	RT @BroadStBull: Updated with Homer quotes: Former #Flyers LW Simon Gagne rips Holmgren for 'slap in the face' http://t.co/LOgtW0zOBP via @?
420703735_378608194593239040 x	@UDPolice u can pull people over dor that ? I thought they changed that law
