228835299_392387576579231745 x	RT @PassionSorella9: Join us 2nite! @ChickiesnPetes in bordentown! 7pm @JonDorenbos @JulieDorenbos @Ewolff27 @Susiecelek Cary and Damaris h?
228835299_392330742887612416 x	RT @EaglesProShop: Look how stylish @JulieDorenbos looked today on @PrestonSteve933 talking about our #EaglesStyleLounge on 10/26-27  http:?
228835299_392283478253129728 x	RT @PrestonSteve933: .@JonDorenbos puts on his thinking cap as he and @JulieDorenbos get ready to tell us about Eagles Style Lounge - http:?
228835299_391627301479518208 x	@Therealdashman accept my pending follow. Need to direct message you
228835299_390996133776211968 x	RT @Jkelce: Our fans are incredible!  Not too many teams have the luxury of having more fans at an away game than the home team!
228835299_390925005196128256 x	@kray54 tough to find
228835299_390924933788098560 x	RT @FallenHero32: Take @EvanMathis69 hair + @jkelce beard + @JonDorenbos magic = Easy future hall of famer.
228835299_390704889489551360 x	@kray54 @R1Jester sick.  See you there
228835299_390704748284116992 x	@TChailowa haha
228835299_389500533536751616 x	@AmberStires @Jkelce @EvanMathis69 it happens.  Haha
228835299_390189889662509056 x	@BDBCEO17 @EvanMathis69 @AmberStires @Jkelce amber, you heard'em.  Focus !!
228835299_389921372119760896 x	RT @TeamUPTOP: @jondorenbos kickin back in in his #uptop tee. Thanks for the post Jon http://t.co/B4eFlEKhOa
228835299_389875950105939968 x	@Cindy610 great thinking
228835299_389875728046501889 x	RT @PassionSorella9: Join my friends & me 2nite @ @ChickiesnPetes Egg Harbor 4 the Philly Pep Rally! 7-9 @JulieDorenbos @JonDorenbos @Susie?
228835299_389838729181138944 x	RT @JulieDorenbos: This Friday @brodyjenner is hosting a party at The Roxxy. @susiecelek & I will be co-hosting with? http://t.co/MDmPHZKmoE
228835299_389633407770443776 x	@JoeBurns35 what up!!! My man, hope you're doing well
228835299_389754192711401472 x	@JoeBurns35 I'm in
228835299_389501947491151872 x	?@Bjopp: I have never forgotten that @jondorenbos went here.  Met him when he with the #Bills http://t.co/OreH1NeAk3? ?? Miner for life
228835299_389552580999016448 x	@DNSlax23 what?
228835299_389632601084133376 x	@DNSlax23 nope.  Friends dog
228835299_389552707230785536 x	@derek_boyko @J_Poyer14 @BappNAinEZBino thanks.  Good times
228835299_389507310210805760 x	Classic @MichaelBamiro photo bombin @CutonDime25 @MikeVick -- We Philly Bound !! http://t.co/xYfZTjmakD
228835299_389552202588893184 x	@doolingpld yep -- get in, get out.  All business
228835299_389552083122544640 x	RT @CLeeOaktonVa: @JonDorenbos @AndersonColt @Jkelce @RileyCooper_14 @TrainerJoeO Good Win Fellas!! E A G L E S EAGLES!!! #WinTheDay http:/?
228835299_389547688158842881 x	@CLeeOaktonVa thanks
228835299_389505809623023616 x	Party on the plane! @AndersonColt @Jkelce @RileyCooper_14 @TrainerJoeO http://t.co/4X1CxHm1o9
228835299_389547641832751104 x	@iPhillyChitChat thanks buddy.  Hope all is well
228835299_389510131664560128 x	?@Jerebear796: I love how @JonDorenbos is taking a bunch pictures with fellow eagles on the plane!!? ?? haha. Yep yep.  That's how I roll
228835299_389547369450467328 x	?@Jerebear796: @JonDorenbos that's awesome! Haha you're probably the funniest guy on the team man.? ?? I didn't say it, but safe assumption
228835299_389502280309145600 x	@_MrInvisible_  yep
228835299_389502211325427712 x	@GavinCoffin hell ya.  Big win.  Miami boat is off the hook
228835299_389502026167881728 x	@Bjopp hell ya.  Go Miners
228835299_389501969054048256 x	RT @Bjopp: For some reason I have never forgotten that @jondorenbos went here.  Met him during his stint with the #Bills http://t.co/0TUsG1?
228835299_389500947095113728 x	Bus rides after wins are way better.  Kickin' with @J_Poyer14 & @nissaneagles  - heading to airport http://t.co/wQRVntZVUu
228835299_389500475856662529 x	RT @AmberStires: Did @Jkelce just wipe his sweat on @EvanMathis69 ?! Haha
228835299_388120358987251712 x	?@NickMcIlwain1: Captain Phillips is the best movie I've seen all year. @tomhanks is incredible. Nothing else to say.? -- can't wait to see!
228835299_387748614698987520 x	@Keg_The_Craig you rock. Thanks!
228835299_387748146962780161 x	@GavinCoffin @JulieDorenbos boats and hoes
228835299_387696571674284032 x	@hammradio it happens ...
228835299_387696434818347008 x	@Jordan3233 done
228835299_387416132887801856 x	@SouthJerzMick thanks
228835299_387416103808692224 x	RT @SouthJerzMick: @JonDorenbos in beast mode LOL #Eagles #BirdGang #RT http://t.co/wUK3TU6Ki7
228835299_387415644284940288 x	RT @MissPhilly2013: W/ the group #pinkout @JonDorenbos @JulieDorenbos @Susiecelek @CRAIGR1 @MariaRPapadakis @MarisaMagnatta @BABCTour http:?
228835299_387415303921364992 x	RT @MarisaMagnatta: Great time tonight w/ friends raising money for @BABCTour - @JulieDorenbos @Susiecelek @JonDorenbos @MissPhilly2013 htt?
