80177132_263979914259202048 x	#picadayforayear Casey's weird costume. http://t.co/0QM2nsyv
80177132_248085681522491394 x	#pnscalendar13 What month should Marisa be? http://t.co/LuTcwynL
80177132_242945558896050176 x	My first pic of # Picadayforayear http://t.co/fcaWZ8Ce
80177132_376379775066972161 x	Intern Sarah @lumpyspacederp and her first bod squad appearance. Sleep number store Springfield Mall. http://t.co/yvsr8XcYR1
80177132_376375462219370496 x	Just got here. Sleep number store at Springfield Mall. Here till two so come by and lay down with me! http://t.co/OnYip2IRa1
80177132_376347695713357824 x	I'll be at the Sleep Number store at Springfield Mall today from 12-2. If you're in Delco come out and say hi!
80177132_379748490546409473 x	Great action shot of @kathyromanowmmr teeing off at White Manor! http://t.co/mYhn2PLbDu
80177132_326501145080119296 x	Cool shot of my son Carter with his Blue Angels kite at dusk. http://t.co/4Ci1lrGA1t
80177132_300393996063227904 x	Skating rink pizza smells exactly the same as bowling alley pizza.
80177132_232914997506891777 x	Golf, swim, beer, massage.  So far this day is off to a good start.
