298080468_396404570760683520 x	https://t.co/Kb0zU3R0ZW Pour up!
298080468_396406041790795776 x	@50in07 Clyde Carson is comin up
298080468_396371722200702976 x	@50in07 @Accursi71 Lol youre such a goon
298080468_396321459930292224 x	I wanna retire like Jay Leno but not at his age
298080468_396319080443285504 x	Another free period doing nothing
298080468_396097158044454912 x	Mike & Ike candies are fuckin mint
298080468_396097976793567233 x	@50in07 tell her to send me candy tmrw
298080468_396029543716118528 x	Jordan just said Lloyd Banks is not good....
298080468_396030041160548352 x	@l_Fifth_l lightskin one, roast his ass
