68577152_367840437991522306 x	Debbie Gibson?
68577152_356416654244200448 x	Respect to the boy who die on the Glee. I never respect that fucking show but still feel bad for his family god bless him #RipCoryMonteith
68577152_390235645450285056 x	PROTECTED
68577152_387306059448078336 x	hello @MileyCyrus twerk my balls or i break your neck
68577152_387245026285084672 x	Tony Romo you chock on raisin balls yesterday last minute. You are dumb no good piece of shit son of a bitch go fuck yourself
68577152_388463730352062464 x	PROTECTED
68577152_110064841942761472 x	Happy long weekend to all my intelligent fans. Make sure you have a good party thinking about the legend master sheikie baby
68577152_108725646955528193 x	who have the skinny fat ass? number one is the motherfucker cocksucker no good piece of garbage hulk hogan. who else have?
68577152_87719642373697537 x	the @HulkHogan4Real do more cocaine and has no dick and balls from testosto he make me look like the godzilla
68577152_360141472089112576 x	#RoyalBaby intelligent Jew or no good motherfucker?
