627419447_394522833184763904 x	PROTECTED
627419447_373168124167991296 x	Preparing to teach my first Broadcast Journalism class @VillanovaU. Excited to give back to my alma mater #NovaNation @Villanova_alum #NBC10
627419447_395196123561721857 x	PICTURE: Drug-Laced Candy Bust at West Chester University. #Halloween http://t.co/08950S2nML
627419447_396262953483112448 x	Hallmark's 'ugly sweater' ornament stirs controversy over lyrics. Are you offended? #NBC10: http://t.co/nhofXqF2IG http://t.co/2oOI9OHdR5
627419447_393658222319378433 x	VIDEO: Car drives down Museum of Art steps! @KatyZachry is #LIVE on #NBC10: http://t.co/Bttvn0xwNW (@iPhillyChitChat) http://t.co/060Nf3xqVg
627419447_390119456216596480 x	The saddest picture from the government shutdown (via @cheezburger). http://t.co/cqEgKPl8Sd
627419447_391581077623799808 x	I was rocking a rat tail haha RT "@Deepwaters19146: But, I bet you were the cutest 9yr old."
627419447_391567418210127872 x	Watching #masterchefjunior. When I was 9 I could barely manage the microwave. These 9-12 yr olds are creating 5-star dishes.
627419447_388801779074613248 x	6'4 RT "@AScrewLoose: @KitKat_Moore193 KEITH! How tall are you?"
627419447_377486269875781632 x	Great talking w #eagles great @BrianDawkins about @BeyondSport conference happening now in #Philly. #bbtb #weaponx http://t.co/fqCKWvlyDn
627419447_378107422767738880 x	The human torch was denied a bank loan. #NBC10 #Anchorman
627419447_330317729598935041 x	Man Finds Stash of Decaying Money in PA Woods, via @WPXI #NBC10: http://t.co/cXOhjleDs6
627419447_377059364302880769 x	PROTECTED
627419447_382424755250274304 x	I just spilled 2 glasses of water underneath our #NBC10 anchor stools. You're welcome @tracydavidson10!!! #behindthescenes
627419447_376454953096605696 x	Emceeing the #DanceOnTheFallsBridge TONIGHT, 8pm. Come say hello! @EFDCorp @myphillypark @netty_b http://t.co/DoojjY9ALk
627419447_387173472352219136 x	Big comeback win for my @NovaFootball squad over William & Mary Saturday! @Villanova_Alum #NovaNation @PhillyInquirer http://t.co/Ra0nAPrWrP
627419447_371715839722266624 x	Not looking forward to shaving the scruff... but can't wait to get back on air at #nbc10 tomorrow: 4:30-7am, 11-noon! http://t.co/Z9ad67nU8O
627419447_376515622504787968 x	No words. Humbled. Congrats #NBC10 morning team! RT @EmmyMidAtlantic: Emmy for Best Morning Newscast goes to @KeithJones @LoriWilsonTV"
627419447_399316876070637568 x	Updating my #ipod, any suggestions? #apple #nowplaying #music
627419447_399561142345146369 x	Steve Mariucci predicts #Packers will rush for more than 312 yards against #Eagles. Bwahhh?!?! #birdgang #boldpredictions
