1132318045_325401107675373568 x	@Dzhokhar_ scumbag
1132318045_325408257164316672 x	@Dzhokhar_  die already
1132318045_381204955836981248 x	@OandAshow disturbing is an understatement!
1132318045_346104180240420864 x	RT @OpieRadio: Congrats Kim Kardashian who gave birth to a baby girl, 5 NBA Championship rings, 2 condoms, 6 press on nails and one gold to?
1132318045_331754542368686080 x	@OpieRadio . Balls move while driving?
1132318045_328941244531224576 x	@JimNorton thanks Jim. Now that song is stuck in my head.  With a nasty image.
1132318045_325415953909293056 x	RT @OpieRadio: Sleep well Boston!
1132318045_325415644700999682 x	RT @Boston_Police: In our time of rejoicing, let us not forget the families of Martin Richard, Lingzi Lu, Krystle Campbell and Officer Sean?
1132318045_325415620885757952 x	RT @Boston_Police: CAPTURED!!! The hunt is over. The search is done. The terror is over. And justice has won. Suspect in custody.
