16031927_293087399418945536 x	tweet @GretaWire - 49ers or Falcons? Pats or Ravens? or still upset about the Packers?
16031927_394959919331299329 x	are you laughing about Obamacare? who is? turn on FOX RIGHT NOW-OTR at 7pm
16031927_343356031432261632 x	Maybe I was wrong about this... read and tell me your thoughts  http://t.co/bLnghE45ol
16031927_354781749177352192 x	zimmerman trial just adjourned for the day (yes, at just moments before ten pm) - long trial day
16031927_344855688805236736 x	Pope Is Quoted as Acknowledging a Vatican ?Gay Lobby? http://t.co/5qVluN1fYI
16031927_342742240231309313 x	to the OTR viewers who hate me or just tolerate me...i still have laryngitis...so stay tuned how my voice is at 10pm. :)
16031927_317073311538499584 x	VIDEO: New Sarah Palin video - is she running?  watch it and tell me what you think:  http://t.co/TZKlzJUgHk
16031927_291378683623636993 x	Tweet me your thoughts on the Journal News gun map & use #greta to see your Tweet on OTR at 10pm/ET!
16031927_290573430472982529 x	tweet me a pic of your cat or your dog  @gretawire
