1428152078_334832949780418560 x	I so can't wait for scandal tomorrow I been looking at season #1 and #2 I'm so hype lol @ScandalABC
1428152078_395901207837151232 x	@MikeFOX29 you to funny as robin thick ????
1428152078_395900584290971648 x	Love @FOX29philly @SheinelleFox29 killed it as bey for Halloween and @KacieFOX29 you as Kim k had me on the floor. How you leave baby north?
1428152078_388499655186989056 x	Scandal is going to be the death of me. @kerrywashington @KatieQLowes @guillermodiazyo #GoodJake
1428152078_385964101354389504 x	So happy @kerrywashington @KatieQLowes @darbysofficial  @ColumbusShort1 Oh how I missed you guys Great show #ScandalisBack #scandal
1428152078_356240915297341440 x	Emmit Till, Oscar Grant and now Trayvon Martin. Where is the justice? Please help me understand. It's not fair nor is it right!
1428152078_356238561877585920 x	??? http://t.co/cAtNpXloWt
1428152078_338081642180648960 x	I'm really down. Not feeling like myself ?
1428152078_334345870315249664 x	@ScandalABC I can't wait till Thursday I'm over here looking at reruns and I love a day a ABC Scandal day!!
