272535475_391200499774799872 x	I wish I could've met Harry from Harry and the Hendersons. # 1 pimp.
272535475_391205768097431552 x	@NicholasMay_ were leaving for Busch gardens in an hour. I think we might kidnap you for an awesome tome
272535475_387717888553263104 x	@NicholasMay_ I've been tucking all of my shirts in recently #dadlook
272535475_387729427557539841 x	@NicholasMay_ yea they are the worst. I couldn't read your tweet at first because I didn't have my fake glasses on
272535475_374031655163678720 x	Can't wait to get on a normal routine and diet again
272535475_374036074592743424 x	@NicholasMay_ la vitas and the bars approaching in a few days my friend
272535475_385455309038579712 x	@BennieGoodtimes @ryan_cray @mufffiin @ryan_adams9 the key to the season is Brayden schenn
272535475_384426289085841408 x	@mufffiin @ryan_cray @BennieGoodtimes @chris_depierro super duper in
272535475_384428998681722880 x	@chris_depierro @mufffiin @darren_9325 @ryan_adams9 @ryan_cray @BennieGoodtimes I have diarrhea I'm out
