563401062_394203855158009856 x	@Freeagent1717 hahah rightt. but I'm not a fighter but I guess shit happens lol.
563401062_394204655989035008 x	@Freeagent1717 hahaa rightt
563401062_394204089493766144 x	RT @x_jgriff: Won our game today, quarterfinals tomorrow night ??
563401062_394203639788879872 x	@Jason_Fairchild her part cause she got her ass kicked. but I'm not the type to fight on the field. but shit happens I guess lol
563401062_394196737453465600 x	@clarkeyyy03 hahaha I knoww. I knocked that bitch down.
563401062_394196469387104256 x	I'm sooo mad @alexa____x3 missed this gamee, I know she would have had my back.. but thankssss to my team who did have my back ???
563401062_394164017091993600 x	gameee time ???
563401062_394149444532584448 x	I hopeee we win our playoff gameee ???
563401062_394145193769046016 x	I want it to snowww ????
563401062_394085806610333696 x	flyersssss gamee day ???
563401062_393886770552897536 x	finallyyy won a gameee ?? great game girlssss. and good job @clarkeyyy03 on your goallll ?
563401062_393914305818943488 x	@clarkeyyy03 your welcomeee boo ?? I'm soo proud of you lol.
563401062_393815548687314944 x	damnn. soo mad about the news I just heard smh ??
563401062_393818385706131457 x	@know_Klew ughhhh righttt !!
563401062_393779965264953344 x	@BroadStBull exactlyyy. we need McGinn !
563401062_393775674546487296 x	I'm happy @Hartsy19 is back but why send Tye down when he's the top scorer ? @NHLFlyers
563401062_393759490392485888 x	@x_jgriff ughhh reallyy ???
563401062_393760832938844160 x	@x_jgriff aww thankk you ! and I will. wi you be at the game on Saturday ?
563401062_393761382979887105 x	@x_jgriff ahhh yayyy ????
563401062_393725983200931840 x	sooo happyyy the flyers won last night ??? #FlyersNation
563401062_393755136562331648 x	@Orange_BlackNat I knoww he did !! I'm so in love with my jersey and I got the new hoodies they had at the fan zone with his number.
563401062_393590498239467521 x	beforeee the gamee.. #lovemyboys ??? http://t.co/r9iOBWABif
563401062_393562279138324480 x	meee and jay #flyers http://t.co/XEu5BJ847l
563401062_393553219978526720 x	WE WONNN !! #FlyersNation
563401062_393554599669686272 x	@Freeagent1717 I knoww righttt. heyy at least we won !!! I'll take it
563401062_393557260519362560 x	@Freeagent1717 hahahahahah rightttt.
563401062_393547194172985344 x	@jacq116 @NHLFlyers omggg that was soo baddd !! I hope she's okayy ?
563401062_393544785111576576 x	NOO GOALLL #letsgoflyers
563401062_393537456051863552 x	omgggg I hope talbot is okay. ???? #Flyers
563401062_393518748751368192 x	READD !!!! #letsgoflyers
563401062_393516209712275456 x	finalllyy. back home ? #letsgoflyers http://t.co/G3QelGS21O
563401062_393512732554969088 x	hot off the press.. omggggg so in loveee. thanks jackie ??? #braybray #loveeeeyou #flyers http://t.co/X4i9gjfXQ2
563401062_393495292227899392 x	hahaha me and @tpanotchCSN before the gamee ! #Flyers #letsgoflyers http://t.co/m9DLw8tj3c
563401062_393476913823756288 x	ahhh bray waved to me ??? #iloveyou
563401062_393467061550477312 x	at the gameeee with @jacq116 waiting for the players to comee ! #FlyersNation @NHLFlyers
563401062_393432434777554944 x	ahh back at it. going to the flyers game ??? http://t.co/lJyymCDBOg
563401062_393388352575385600 x	theses 6 days off from #Flyers hockey have been soo hard lol #FlyersNation
563401062_393362858236706816 x	finallyyyyy #Flyers gamee day ???
563401062_393069892964216832 x	RT @CjBurns215: No Lundqvist tomorrow for the Rangers. http://t.co/SSMhNxVpYO
563401062_392847172091514881 x	RT @briaannaB: Wait Jenna in awkward is supposed to be 16 ? #what
563401062_392847156073463808 x	@briaannaB rightt. I said the same thing !
563401062_392475168561709056 x	RT @johnclarknbc10: Cant take this. More misery. Watch video of Andy Reid celebrating like Kool-Aid man. 30 seconds in http://t.co/4MkNXczE?
563401062_392447346698903552 x	is it Thursday yet ? I wanna go to the #Flyers gameee !
563401062_392386907684233216 x	my main #mcm #braybray #flyers http://t.co/ioBik1gGJ4
563401062_392374294267064320 x	#TweetYourLockScreen ???? http://t.co/fdlt7wyMXY
563401062_392326542187319296 x	#mcm I loveeee you pronger ?? http://t.co/pDZfxENwXT
563401062_392325964304510976 x	RT @NOH8Campaign: At 12:01am ET this morning, New Jersey became the 14th state to legalize same-sex marriage. RT to celebrate #NOH8 in the ?
