1109331564_395910047127326720 x	@d_black318 you good!??
1109331564_393826471699304448 x	@d_black318 turn up
1109331564_393826868987985920 x	@d_black318 woah
1109331564_389837701610209280 x	@d_black318 wtf why
1109331564_385934786713632768 x	I cheated on you with your brother @wutPAIGE
1109331564_372837162561318912 x	I miss @d_black318 so much ?
1109331564_372837798438772736 x	@d_black318 come take the train to nyc
1109331564_372838044136898560 x	@d_black318 yay besties take Manhattan
1109331564_359026754297819136 x	I miss @d_black318
1109331564_357280686870237184 x	you're a slut @d_black318
