66526219_393439605909106688 x	This class is such a waste of my time.
66526219_393364559924572160 x	Something light on this fall weather day. #school http://t.co/ScUAyNTeJA
66526219_393038875465383936 x	RT @amberiscool: 2013 #WorldSeries starts tonight! Wish it was the Phils but rooting for the Soxs just bc Shane Victorino was once a Philli?
66526219_393031666093928448 x	@b_hassan9 thats my movie!!!!!!
66526219_393027882895024128 x	oh how i miss @Oh_My_Gab like crazy :(
66526219_393020125462659072 x	beautiful @JanelleOArthur is following me!!! Top 5 finalist on American Idol so talented with a amazing voice http://t.co/9TJyyXxGqX
66526219_392815496703516673 x	@haleylynneparks what!!!!!!!!
66526219_392816170317144064 x	@haleylynneparks lol they have a whole nother season(season5) so we got a long time to wait for the truth girl
66526219_392815882931826688 x	I think @haleylynneparks broke my heart with her last tweet about pll </3
66526219_392815282496233473 x	Grunwald is  scary. #PLL #PLLSeArchPArty
66526219_392814366460223489 x	Omg spencer was so close!!!!
66526219_392813120189890561 x	"@This episode of PLL is nuts and its making me go crazy omg. Love this show to death @AshBenzo @shaymitch @lucyhale #lovingit"
66526219_392811826935001088 x	watching Pretty Little Liars and having panic attacks every 0.2 seconds #PLLSeArchPArty #PrettyLittleLiars
66526219_392807274299011072 x	Huh that was scary where hanna go!!?!! #PLLSeArchPArty
66526219_392802602867769345 x	ITS TIME ALL YOU #PrettyLittleLiars FANS GET READY FOR A #PLLSeArchPArty CUZ ITS GOING TO BE A BIG ONE!!!! @ABCFpll
66526219_392801521769127936 x	Five mintues until #PLLSeArchPArty #PrettyLittleLiars and i cant wait any longer!!!!!!! Omg
66526219_392790659318706176 x	RT @tylerjblackburn: RT if you can?t wait to watch the #PLL Halloween Special TONIGHT @ 8/7c on @ABCFamily followed by #Ravenswood!
66526219_392759326449750016 x	"@Jolenecal54: You can hope for the best and expect the most.. But sometimes it still won't happen.. Don't let that feeling bring you down."
66526219_392750574422478848 x	Its the night we all been waiting for! Pretty little liars is back tonight at 8 so cant wait. This? http://t.co/WhPfUU7jYW
66526219_392686917961383936 x	RT @ddlovato: Had such an amazing time performing some stripped down songs for @TheGrammys! Watch the performances here - http://t.co/qgQcu?
66526219_392679825384939520 x	Out of class 20mintures early i can take that
66526219_392662657586962432 x	#PrettyLittleLiars & Ravenswood tonight! Cant wait until 8pm
66526219_392661683145281537 x	The day we all been waiting for and It?s finally here! Happy #PLLSeArchPArty day! @ABCFpll
66526219_392645649339936769 x	"@The_C0nductor: When you choose to forgive those who have hurt you, you take away their power. #QuoteOfTheDay"
66526219_392645358154575873 x	@kingdaddyblems its never to late to reach out to someone n try to make the friend ship come back.
66526219_392457163190587392 x	#MCM Colin Kaepernick #hot #sexy http://t.co/xaOpKPNqHT
66526219_392376304680857600 x	Happy Birthday beautiful!!!! @KimKardashian
66526219_392375918746165248 x	TWEET #DemiFrozen and unlock @ddlovato's version of #LetItGo, http://t.co/GNLI9sDzXd LET`S GO LOVATICS! LET`S GET IT  UNLOCK
66526219_392333343469338625 x	RT @logencraig: I have soooo much homework..ohmagawd
66526219_391420819102261248 x	Put a smile on my face when she said that to me at work when i brought it up. Not only is amanda a? http://t.co/gejAf0XKHx
66526219_391399910199029760 x	"@ravee_nn: Like I'm really a nice person. Ask anybody." You have your days wgen your not
66526219_391169503188754432 x	GM Instagram. Hope God blesses each and everyone of you with a blessed day http://t.co/dechB7suVy
66526219_390987311678111745 x	cant wait to see my baby in about 20 mintues
66526219_390931919321305089 x	Don't wait until it?s too late. You might not get another chance.
66526219_390931695173902336 x	Its soo nice outside! Might go for a run
66526219_390930315080134656 x	I am taking a stand against bullying for #SpiritDay! Join me: http://t.co/7TxV6GbHYc http://t.co/jyCkghNNUF
