135731468_398589472230486016 x	Workout done... Coffee please.
135731468_387726711049035776 x	HEY!!! YOU THERE, CHECK THIS OUT!!! Please? RT @BKerchofficial: Sage means business. She's a good pup. http://t.co/5kuoBnlamt
135731468_387063500981301248 x	I love this?? #elephants http://t.co/Gt4nRX5hZn
135731468_379782998511460352 x	Ok... What to do for Dinner in Boise Idaho? No potatoes that's just to obvious.
135731468_378040492048412672 x	Ok... Pants, or no Pants? @JacobyShaddix
135731468_367712044419518464 x	Philly!!! You ready for the @CarnivalMadness ?!? Tonight @MannCenter. http://t.co/ViX18ObFrS
135731468_368194113587662848 x	Oh Hey!!! RT @charmed61169: @TheBrentSmith http://t.co/LUAMCXsOyu
135731468_371350907121713152 x	Today's before, and after is brought to you by #STOPEATINGAFTERSHOW. Me on the left 2008,me on the right 2 nights ago http://t.co/O7Y902VqeU
135731468_374994507806560256 x	That is so Awesome!!! Im honored. RT @mhesson90: @TheBrentSmith   Finally done!! What ya think? http://t.co/d6EW8YCo92
