259077662_387973175700901888 x	@jaminthompson @breezy81 time for some hoo doo voodoo
259077662_387974566213341184 x	@jaminthompson @breezy81 I'm coaching from the practice squad. I feel like I have rex ryan's job
259077662_387981080818880512 x	@breezy81 @jaminthompson #suckit hey you just won second place, an youre happy about it. Smh
259077662_387985978667040768 x	@Dtgreat13 @breezy81 @jaminthompson I saw the trade w/ Lee an was like oh well then I saw this one an was like FUCK ME
259077662_387989010037350400 x	@jaminthompson @Dtgreat13 @breezy81 man if you trick a special needs kid into giving up his lunch $ for magic beans. you're the bad guy. Lol
259077662_388008773031165952 x	@breezy81 @Dtgreat13 @jaminthompson how you hate us? We didn't help JT set the deck that was @LeighMayock?aka Long Legs All Day Mayock
259077662_388013306302459904 x	@LeighMayock @Dtgreat13 @breezy81 @jaminthompson only her skills would improve by accident. FML
259077662_387935833619431424 x	Seriously! You two knuckle heads couldn't wait til next wk to pull this bull ish. @jaminthompson?@LeighMayock?
259077662_387965091544457216 x	@jaminthompson @LeighMayock man you pulled a 187 an leigh just confirmed her blondeness
