331329911_394315070718898176 x	I still can't believe @priincesss22 fucked a bitch up at our game today ?? #heatbitches
331329911_394443746236198912 x	@priincesss22 ?? she wasn't doing shit, that's why she was on the ground. I wish I was closer so I could've said something, bitches ?
331329911_394445641629589504 x	@priincesss22 you should've seen number 25s face when she saw you... She was literally like ?
331329911_394458685742665728 x	@priincesss22 hahaha
331329911_394490409181003776 x	@priincesss22 as you should've! & I don't think he is, he said they are a bunch of bitches & he wouldn't want to be on your bad side ?
331329911_394491818270023681 x	@priincesss22 I'm sure he's not mad! Just talk to him tonight ?
331329911_393750805645631488 x	Bummed I can't go to my game tonight because of work
331329911_393760107877892096 x	@priincesss22 ugh yeah? but good luck & text me after and let me know how it went!
331329911_393761044042358784 x	@priincesss22 yes! Saturday & Sunday if we win tomorrow's game!
