285928362_390283945512009728 x	GENO BABY!!! ??????
285928362_338465991631728640 x	Baking cause I'm bored... Anything you guys want at camp lol? @DalaiLAHMa #alreadymadecupcakestho
285928362_338479684029386752 x	@DalaiLAHMa anything for you jimmy!
285928362_334076611764838400 x	@DalaiLAHMa shut up Jimmy, malkin is sexy!!!
285928362_334081877579280386 x	@DalaiLAHMa umm the accent is hot and hes a hunk duh. And he kicks ass that's why hes on such a good hockey team #71 #ilovegeno #suckit
285928362_334087262377742337 x	@DalaiLAHMa that's gross bud
285928362_334090108355612675 x	@DalaiLAHMa like you dont have a man crush on any hockey players #yeahokay #hater
285928362_334096484985339904 x	@DalaiLAHMa #EWW #WTF #UGLY #BARFING
285928362_331924587073912832 x	MALKIN!!! #71 LOVE YOU BABY!! <3333 @malkin71_
