239504491_104265478834356224 x	Scan me! http://t.co/xkzYvVH
239504491_96208571003445248 x	@richardroeper ...I'll go first!!!
239504491_95668418665136128 x	RT @EddieTrunk: Wow check out this shot. http://t.co/s3aTd1O
239504491_95667891369816064 x	@EddieTrunk @airwavz1...Pinnick & Portnoy!! Awesome!
239504491_87992879221444609 x	@GeorgeTakei ...to have the freedom to listen to @georgetakei on @howardstern!!
239504491_85313292897226752 x	RT @realjknoxville: At Ryan's memorial Wednesday night in West Chester, people were invited up to the microphone to say a few words... h ...
239504491_83125754296143872 x	RT @DustyTrice: Here's the Music Video for Weird Al's Lady Gaga Parody [Video] http://tric.es/mlYj7V
239504491_83120107534036992 x	Happy Birthday Brookie! Love daddy :)
239504491_59939643289899008 x	RT @1NatalieMaines: These kids are 5 and under!Adrian said our kids are going to be carrying these kid's road cases{DPRK Music} http://t ...
239504491_59933880471396352 x	RT @JRCarmichael: http://www.youtube.com/watch?v=T36A-H8dPhI  SIIIIIIIIIIIIIIIIIIIICKKKKKKKKKKKK!!!!!!!!!!!!!!!!!!!!!
239504491_57451389454008320 x	@sebastianbach @airwavz1 when's it out?
239504491_56493325078904832 x	@lisag30D #mambomartini recipe? How 'bout a #mamboshortini add @rmlimodriver69 and too much alcohol! Dude!
239504491_56491606144061441 x	@highpitchmike @airwavz1 just because stefano has a penis? not fair! Enjoy the evening!
239504491_56490475321950212 x	@GeorgeTakei ...@airwavz1 says...that joke was worse than the disasters in Japan! Loved you on @howardstern
239504491_50635828958998528 x	@Mrjimflorentine ...well...how would you feel if you had roids?? I've heard they can be pretty painful.
239504491_50635009899495424 x	Hey Twitter...sorry, I'm a bit busy right now! Gotta run!
239504491_45827171075366912 x	@SarahKSilverman tell @howardstern Kevin said "HI"...don't forget! Thnx!
239504491_45087421288820736 x	@The_Ponce Funny stuff! Not to mention...true!
239504491_44727686924472320 x	@MylesKennedy Good ta hear from ya!
239504491_44253834092089344 x	@HowardStern ...Well...get on it Captain Stern!
239504491_43844405098070017 x	@Alyssa_Milano...@alyssa_milano amazing movie...amazing score!
239504491_43836227664875520 x	@charliesheen @charliesheen ...stop taking all my cool lines! I'm a winner, just like you!
239504491_43794509095641088 x	RT @brittany_802: WATCH THIS hahahah http://www.youtube.com/watch?v=I7slMZmk3dE I was sooo drugged up from the anesthesia
239504491_43792001635844096 x	@brittany_802 too funny! LMAO!
239504491_43791162343030785 x	RT @brittany_802: Need a laugh? http://www.youtube.com/watch?v=I7slMZmk3dE
239504491_43727395567579136 x	@Joan_Rivers LOVE YOU!
239504491_43727189644017664 x	RT @Siriusjay: I haven't done a #FF in forever, but please follow my friend @dustytrice Liberal, pro marijuana, great political info...M ...
239504491_43686671341981696 x	@1NatalieMaines love it...keep em CRACKIN!
239504491_43681897821380609 x	@1NatalieMaines Awesome! You da best!
239504491_43642801040265216 x	@shalomshuli PUCKS? WAS IT A HOCKEY TRAIN?
239504491_43508447945310208 x	@CHRIS_Daughtry GREAT!
239504491_43497726998102016 x	@Alyssa_Milano congrats!...here's to 15,001 ;)
239504491_43487312117628928 x	RT @1NatalieMaines: If you missed it the first time, let me say it again.  If you don't like Howard Stern, don't follow me. Non-#"winner ...
239504491_43319681267929088 x	@CHRIS_Daughtry when does the new album drop? Tic tic tic...waiting!
239504491_43315318407430144 x	Who's this @justinbieber kid?
239504491_43298167302795264 x	RT @drummerpr: RT @nydailynews: Gah! Get ready for a blitz of bedbug cases in summer 2011, experts say http://nydn.us/eRcZos
239504491_42997696436510721 x	@Beetlepimp Loving the Beet-tweets! Keep em comin!
239504491_35814254577717249 x	@Rosie ...I love it when you two get along!
239504491_42920627904061440 x	@Siriusjay Midget Mambo Man...tearing it up on Twitter!...go Mambo-go Mambo!
239504491_42756634803572737 x	@charliesheen WELCOME ABOARD!
239504491_42755301702770689 x	@howardstern R ya watching IDOL??
239504491_42744582873681920 x	@EricTheActor hey Eric! Miss ya on howardstern! Call in!
239504491_42732666142859264 x	@charliesheen http://twitpic.com/455ly9 - The one in yellow please!...2 of em!
239504491_42731682855518208 x	Since it's @justinbieber birthday...perhaps the 7+ million of us should all chip in and get him a really nice gift...send me cash$10 each
239504491_42728785312890880 x	RT @simonsam: Odds of words appearing in @charliesheen's first tweet: "winning" 2-1,"goddesses" 5-1, "Chaim"  15-1, "I need help" 99-1
239504491_42728502193172480 x	@charliesheen Duh...winning!
239504491_42724998326124544 x	@justinbieber perhaps you should mail him a piece to prove it!
239504491_42723274173591552 x	@robertAbooey hey Gary...what's the promo code for RawTalentGuitar?
239504491_41647239629766656 x	@Beetlepimp Looks like a steel rainbow with a black and white leprachaun at either end!
239504491_41645500100919296 x	@highpitchmike Enjoy the eve!
239504491_41195507388923905 x	@Alyssa_Milano THANK YOU! lol & smiling!
239504491_41195179813773312 x	RT @Alyssa_Milano: ? If this video doesn't make you smile, check your pulse? http://is.gd/zuWw7t  /via @angelmarie_3 @laurawalker86
239504491_40791434533666816 x	@normmacdonald I'm sorry...did you mean me?
239504491_40593985269538816 x	@HowardStern what would @howardstern think?...that's what WE wanna know!
239504491_40592930536292352 x	@brittany_802 ...do you possibly talk...half as much as you tweet? Where do you find the time?
239504491_40592516462034944 x	@shalomshuli ...aaawww...that's sooo sweet!
239504491_40579098115981312 x	RT @BabyLyssaC: @NOH8Campaign Hawaii just became the 7th state to allow Same sex marriages!!! Congratulations !!! #noh8
239504491_40079075611656192 x	@JeffProbst whaaah! Whaaah!...we want an East coast live tweet...Whaaah! (that would be an Artie Lange whaaah) Miss that dude!
239504491_40015822592282625 x	@howardstern...talking up @justinbieber neversaynever movie
239504491_40008042988834816 x	#HOWARDSTERN RULES...BABA BOOEY-BABA BOOEY!!
239504491_40007099467579393 x	@howardstern Finally back LIVE!
239504491_39669130030366720 x	@marccolombo Still tooo early for morning! Zzzzzzz!
239504491_38984426406936576 x	@IamStevenT Flipidy doo-da-dee!! Great ta hear, bout you & JP! Feel the <3!
239504491_38782661690523648 x	@simonsam ...sexxxxxy!
239504491_38438868529332224 x	@Rosie ...if you find out!!!...TWEET US ALL!
239504491_38225608429420544 x	@shalomshuli Maryann from Brooklyn..."No, go ahead Howard...you talk, I'll listen"
239504491_37843807277944833 x	@JeffProbst Gary Busey...vs....Gary Busey! Gold!
239504491_37705440452157440 x	@brittany_802 what's the job?
239504491_37703269157572608 x	@jzolna7 whatever??
