17224281_391384935074119680 x	When ur not a necessity, your a liability... #CGHThought http://t.co/XMnkEzuZXl
17224281_391199278728613888 x	ROMANS 8:38-39
17224281_391199258746970112 x	HEIGHT NOR DEPTH,NOR ANYTHING ELSE IN ALL CREATION,WILL BE ABLE TO SEPARATE US FROM THE LOVE OF GOD THAT IS IN CHRIST JESUS OUR LORD.
17224281_391199169295028225 x	Good morning...I AM CONVINCED THAT NEITHER DEATH NOR LIFE,NOR ANGELS NOR DEMONS,NEITHER THE PRESENT NOR THE FUTURE,NOR ANY POWERS, NEITHER
17224281_391187807706030081 x	My enemies can't undo what GOD has already done... #CGHThought http://t.co/SOE24fSZpa
17224281_391079074937835520 x	@eazy_sumrz @doxortho TGBTG...
17224281_391078777209356289 x	RT @kehlani_: ?@Fact: The juices from a beavers butt is often used for vanilla and strawberry natural flavoring.? @CarvinHaggins @MsBriaMar?
17224281_391063160901619712 x	RT @NMaraBrooks: @therealnickmara @carvinhaggins @doxortho @dyanawilliams @miatinari Have a nice,safe trip <3
17224281_391062605806055425 x	RT @FoFireLife: @CarvinHaggins I had no idea Jazzy Jeff was at the core of so many hiphop movements! Great knowledge you shared man! #Kimme?
17224281_391062543684214784 x	RT @mediamancomm: The @UYRS e-mentoring panel featured @Soledad_OBrien.     @CarvinHaggins, @drchuckwilliams, Dr. Ashaki Coleman, UYRS Foun?
17224281_391026376272142336 x	@Soledad_OBrien I can't wait til the world get to experience Black in America 6... #GREATNESS
17224281_391025981735317504 x	RT @LawfulTrainer: @Soledad_OBrien #Philly black in America screening looking forward to it!!
17224281_391006928513417217 x	@KimVFields look who I was with today... @Soledad_OBrien it was an honor to share the stage with such a great treasure.... #WITEMENTORING
17224281_391006118891491329 x	RT @DAFrizzG: We r about 2 begin the #WITeMentoring discussion with @Soledad_OBrien @drchuckwilliams @carvinhaggins
17224281_391006096942714880 x	RT @UYRS: #WITEMENTORING lessons learned guide @lebronjames @drchuckwilliams ashakic @carvinhaggins http://t.co/nQyx3TL0Ue
17224281_390979076275838976 x	Great lunch event congrats @msbriamarie I'm proud of you... #beamteam http://t.co/NlWmpV9U4Q
17224281_390887465298702337 x	Lunch? Right me either but I might try it.... #beamteam #lewkleinAITMA http://t.co/puqt50Qet4
17224281_390818913438552064 x	Good morning...BE JOYFUL IN HOPE, PATIENT IN AFFLICTION, FAITHFUL IN PRAYER. ROMANS 12:12 *NIV
17224281_390711098678468608 x	@KdubontheBeats TGBTG
