1915745611_399748976607760384 x	@jennajameson wish I could get your book are you doing book signings? In pa
1915745611_399748316139122688 x	@jennajameson love u you should be ahoy glad to hear your a soccer mom now
1915745611_398083486541971456 x	@MikeFOX29 the pickles can be bought on Amazon
1915745611_391126888640679936 x	@MikeFOX29 my most hated cowboy would be TO when he went to that team and before that Mike Irving #DallasCowboys (girls)
1915745611_390576595419029505 x	PROTECTED
1915745611_390626855923249153 x	@gloriakkenney actually went to fair acres and lasted from May to July and left its unsafe and I had a hard time working I was so fatigued
1915745611_390422864111091713 x	@SueSerioFox29 where did you get the shirt your wearing its awesome
1915745611_390422410790715392 x	RT @RealTXTarheel: Blood sucking leeches were once used as a medical treatment.  Now they just write healthcare law.  #DefundObamacare #Red?
1915745611_388503322271166464 x	@sarah_sevans11 thank you for the happy birthday
