541623577_390917155807830016 x	I'm so infrequent to the gym at the moment I feel the need to call it the James. #FatNotFit
541623577_390960894630694912 x	@EJSouthwell @maffoomafia why you guys hating on my jokes? And slow and steady wins the bet, want Emma to do me a cardio pt session #Cheeky
541623577_390211824333103106 x	@maffoomafia paha! I wish. Be good if that's the case though!! I'm currently googling when next years opponents get announced. Doesn't say
541623577_390212927313440768 x	@maffoomafia yeah of course, doubtful though. And I'm not sure, no indication yet, just says announced later in the season?
541623577_387698017585102848 x	@maffoomafia we will probably cut him Only on a year contract. That's Ballard and Bradshaw out. 2 starting players. Oh wait... Richardson ;)
541623577_387699193382719488 x	@maffoomafia says the guy with a Peterson jersey... #Hypocrite
541623577_387699883660308480 x	@maffoomafia what did you do...
541623577_387700549216661504 x	@maffoomafia you get a Brent Celek jersey?! #Baller
541623577_386433758347280386 x	So @EJManuel3 has a #LCL tear to his knee. Feel the guys pain. Gutted when I did mine, just hope he has a speedy recovery. #PromisingPlayer.
541623577_366616073488973827 x	PROTECTED
