135979899_331172241045864451 x	Am I the only one that writes 2 sentences of a paper, then breaks for another 45 mins? #Isuck
135979899_331174992400244736 x	@drhoops63 lmaoo hang in there. A week-ish until you come home!!!!!
135979899_331184578972770304 x	@drhoops63 whatever, ass. ; d
135979899_326379506963214338 x	Finding money in random pockets is like finding gold #sweeeet
135979899_326427746320408576 x	@drhoops63 yeah.....no
135979899_319127853461561344 x	I still hate you for posting that picture. I woke up with the visual image ingrained into my brain. @drhoops63 #asshole
135979899_319139654790180864 x	@drhoops63 shut up
135979899_319146300895547392 x	@drhoops63 it was an easy class. And im out now Dr.hoopz. Did you drop out of school yet? We need to get started on your rapping career ASAP
135979899_319167583054094336 x	@drhoops63 hollah! DR.HOOPZ ON DA MIC
