1273254194_366426454336090113 x	RT @FunnyOrTruth: bad ideas make great stories
1273254194_365241092129570818 x	RT @pdacosta: JPMorgan faces criminal and civil probes over mortgages http://t.co/KQ8AhSfBwa
1273254194_363658231388073984 x	RT @jolshan: In South Korea, teachers earn the kind of salaries America pays its pro athletes. Kim Ki-Hoon earns $4 million: http://t.co/Ae?
1273254194_362636965851574272 x	Take care of the little things and the BIG things will take care of themselve
1273254194_362271658494529537 x	RT @Addictd2Success: ?Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose?
1273254194_360779296207421441 x	RT @NFL_ATL: Tebow 'catching passes' and 'lining up with backs and receivers in a (non-contact) tackling drill,' per @AlbertBreer  http://t?
1273254194_359735979168366592 x	RT @SportsNation: Awesome Larry Bird stories, courtesy of @SLAMonline and @Paul_George24 #LarryLegend --> http://t.co/syWutjBy5Z
1273254194_359488524526956545 x	RT @JoelOsteen: Of all the things God created, He is most proud of you. You are His most prized possession.
1273254194_359461681031692288 x	RT @HuffingtonPost: "Fight Club" sequel in the works http://t.co/vZqeICdCYa
1273254194_359395029418123265 x	RT @PGATOUR: After #TheOpen, here's how the World Rankings look: 1. Tiger Woods 2. Phil Mickelson 3. Rory McIlroy 4. Adam Scott 5. Justin R?
1273254194_359022878819627008 x	RT @JoelOsteen: God knows what He is doing. Quit fighting against what doesn't go your way.
1273254194_358614415555702784 x	RT @TheRock: "At my signal, unleash hell" ~ Maximus   #Gladiator #StrengthAndHonor (Powerful performance)
1273254194_358614187859525632 x	RT @Addictd2Success: "Entrepreneurs: You get a limited number of chances in life to do something really, really big. Take them." - Dharmesh?
1273254194_358268143606976512 x	RT @Addictd2Success: "The people who are crazy enough to think they can change the world, are the ones who do.? - Steve Jobs
1273254194_358267981056737280 x	RT @realDonaldTrump: "If you want to conquer fear, don't sit home and think about it. Go out and get busy." - Dale Carnegie
1273254194_357622104180944896 x	RT @realDonaldTrump: "Sometimes people spend too much time focusing on problems instead of focusing on opportunities" - Think Like a Champi?
1273254194_357621350133161984 x	RT @GreatnessHQ: If we go out there and give it all we've got... that's heroic. You guys wanna be heroes? -"Varsity Blues" http://t.co/ZsTb?
1273254194_356951419078721536 x	RT @T_Harv_Eker: Make it a practice to judge persons and things in the most favorable light at all times and under all circumstances. - Sai?
1273254194_356914383370207232 x	RT @T_Harv_Eker: RT @JackCanfield Gratitude is the single most important ingredient to living a successful and fulfilled life.
1273254194_356085278173184001 x	RT @Addictd2Success: "A dream doesn't become reality through magic; it takes sweat, determination and hard work." #BelieveThat
1273254194_353262276419141637 x	RT @GreatnessHQ: 21 suggestions for success http://t.co/w0Im6KJqn0
1273254194_352666789483773953 x	RT @davidlabrava: YOU CAN DO ANYTHING YOU WANT WITH YOUR MIND. IT IS YOUR OWN SUPER COMPUTER. JUST SET THE PROGRAM AND DO IT SEE THE END RE?
1273254194_347818125779144706 x	RT @realDonaldTrump: Keep focused on your goals. Practice positive thinking. View any conflict as an opportunity--look at the solution, not?
1273254194_339383819964645378 x	RT @HuffingtonPost: LOOK: Adorable baby lynx born at Nashville Zoo http://t.co/7V6o8rRMo8
1273254194_339029223941484544 x	RT @USMC: This Memorial Day we remember the fallen. Thank you for your sacrifice. Semper Fidelis. http://t.co/4Sp056cgBY
1273254194_337029846733561856 x	RT @itsMichaelJ: If winning isn't everything, why do they keep score?
1273254194_336642860877225985 x	@webbsimpson1 that's not a real Philly Cheesesteak Webb! You gotta see South Philly when your back for the Open
1273254194_336470653869887488 x	RT @TheSuccessKing: "Logic will get you from A to B. Imagination will take you everywhere." -Albert Einstein
1273254194_331577327916023808 x	RT @itsMichaelJ: Before you pray: BELIEVE Before you speak: LISTEN Before you spend: EARN Before you write: THINK Before you quit: TRY Befo?
1273254194_324872340343234560 x	RT @SportsNation: Unreal moment last night. Boston fans sing the National Anthem before the Bruins game - http://t.co/N0n1IYuSk3
1273254194_323994258807857152 x	RT @JoelOsteen: God has brought you too far to leave you where you are. He has something great in your future.
1273254194_320939301514932224 x	RT @Melanie_Collins: Grab a tissue.. 7-year-old cancer patient Jack Hoffman stars in Nebraska's spring game ? http://t.co/uDmfxwtDPk
1273254194_320416091597860865 x	http://t.co/V90iveEuo6
1273254194_319269115409883138 x	RT @JasonDufner: ?@J_Wright_jr: @JasonDufner GHS Boys Golf #Duffnering with 7th Straight Tourney Victory! #GoBigRed http://t.co/25lbReFB ...
1273254194_319268825134673920 x	RT @ghostofhogan: The van Phil Knight started selling shoes out of at local track meets in Oregon. Peddling out of the trunk!! http://t. ...
1273254194_318179760431833088 x	RT @Earth_Pics: RT and make a wish! http://t.co/jlNO4qtMYY
