328699678_383605025915695107 x	@_jamal1124 yoooo
328699678_383606560028508160 x	@_jamal1124 fyd ?
328699678_361813413334228995 x	Wish I can go back too sleep I have this pain in my eye ???
328699678_361813959810088961 x	@_jamal1124 I wish I could lol that shitt hurt so fucking bad yo smh
328699678_361814556210769920 x	@_jamal1124 Lls where you at nigga ??
328699678_361814765640744960 x	@_jamal1124 what time u got too be at work ?
328699678_361815023254908931 x	@_jamal1124 ohrd cool I bet you tried too sleep longer didn't you ? Cause I tried & woke up round 7 smh
328699678_361815725473673216 x	@_jamal1124 Lls I wish I was a late sleeper sometimes Lls wake up like 1 or 2
328699678_322899821830737923 x	@_jamal1124 be safe nigga Rs
328699678_323034560071872512 x	@_jamal1124 thanks mal , fyd nigga
