473523512_379665262746017792 x	@Visa
473523512_357613586690355200 x	RT @BaseballSerious: Nothing like a good game of catch to set your mind straight
473523512_357601992526794752 x	RT @BaseballSerious: Every ball player knows never to go golfing during ball season because it  really messes up your swing
473523512_328879218819727360 x	RT @howardeskin: Trying to figure out why #espn puts Screaming A Smith on air to talk football. has no clue. Has enough trouble w basketbal?
473523512_327595010650431488 x	"@KG3_29: dear kelly, i hate you. from kev daddy" don't be a hater
473523512_291628389121552386 x	Go Eagles!
473523512_285513448182386688 x	RT @howardeskin: Just 2 make Clear according to sources. Jeff Lurie will hold N Conf mon 2 announce A reid will no longer be HC of #eagl ...
473523512_248492345375461376 x	@KG3_29 $$$
473523512_162001423452741633 x	going to bed!  Deuces yo!!!
