1279002192_354422440153198594 x	Hey y'all!
1279002192_339909995418230784 x	CAL, where are you guys? Annotate! Talib Kweli ? Get By - Miss Rosser's Version CAL @TalibKweli http://t.co/lYjiN6EYKj via @RapGenius
1279002192_337370976813740032 x	Shout to Raymundo for annotating in @RapGenius ! ?@josdogx809: @_msrossboss http://t.co/FOBJyux8bE "danger approches wait who is this"?
1279002192_337374497315364866 x	@firebird287 yes! I'm fine. See you tomorrow! Come ready to work?
1279002192_332227192572502016 x	Please bring in your permission slip tomorrow for field day!!!
1279002192_332237310806605824 x	?@firebird287: @_msrossboss I never revived one? get it tomorrow
1279002192_331356373935874049 x	It's BENCHMARK time.
1279002192_315472643849605120 x	@firebird287 hey Denise!
1279002192_315482622363070465 x	?@firebird287: @_msrossboss how is your break so far?? amazing! And yours?
