39288259_393201130450075649 x	Do you have the @RedSox or @Cardinals in the #WorldSeries??
39288259_389419528980926464 x	#AZvsSF is a big one!!
39288259_394321059563859968 x	So was that #obstruction call in the #WorldSeries as controversial as the simultaneous reception/interception in the @NFL? #MLB #NFL
39288259_395067443418107904 x	We need #celeb help. Any of you know @justinbieber or @ladygaga?? Maybe @aplusk or @BarackObama?? Help my #BreastCancerAwareness campaign!!
39288259_356975336514260993 x	@ShaneVictorino where are you?
39288259_356986662754058240 x	?@ShaneVictorino: @LarryFitzgerald in Alaska homie! You been? http://t.co/XKftJTl2OS? you look like a small version of @TheRock lol
39288259_357268109243072514 x	RT this AND properly predict the MVP of tonight's @mlb #AllStarGame for a chance to win a "Fitz Knows" t-shirt!!
39288259_286270660664254465 x	I'm headed out of the country tonight. I will send pics & videos as my internet connection allows.
39288259_286006294941429762 x	Happy new year!
