227837742_392804567684874240 x	"Nobody could be more frustrated than myself and the president" @sebelius on #ACA rollout. #AC360
227837742_390991341418999808 x	Pres #Obama on #Shutdown: "Probably nothing has done more damage to America's credibility in the world" #AC360
227837742_390275929852739584 x	"The House Republican conference is a failed state like Somalia and Sudan" @PaulBegala on budget battle. #AC360
227837742_390273998841344000 x	"We have been downgraded in the eyes of the world" @David_Gergen on #Fitch warning. #AC360
227837742_385197761513013248 x	"This is humiliating for the Republicans, it is hurting them in the polls" @PaulBegala  on #governmentshutdown #AC360
227837742_382329559938383872 x	"We have seen attacks like this in #Aurora, Colorado" @peterbergencnn on #Nairobi #Mall attack
227837742_388466399590375424 x	#Obamacare web site keeps crashing. Our Twitter feed works fine. Tweet #AC360Later, let us know what you think.
227837742_367803022375530496 x	"We can't sacrifice all constitutional rights to fight crime" @PhillyPolice Comm. Ramsey on #stopandfrisk
227837742_349720763135295489 x	What do you think about George Zimmerman's weight transformation?
227837742_116273336509669376 x	Another child dead. Another suicide due to bullying. What will it take for you to stop the cycle? http://t.co/qbj6UqhE #AC360
