604734042_398600736520814592 x	<== has an uncanny talent for getting under people?s skin.. TTM @Rated_AG34 @Kingkwame215
604734042_398605646129803264 x	@Rated_AG34 @Kingkwame215 yooo he really mad yo.. I?m talking about Madden & they always wanna get personal ????
604734042_371824509214797824 x	Hold up tho LO on crack?? So they meant ?candy? not candy all this time?? Na yo.. Naaaa.. No way.. Not LO
604734042_368360508338216960 x	@Kingkwame215 @NaeSoFit smmfh Do better fam.. Figured u would YouTube how to take care of ur phone by now
604734042_353250285122093057 x	@Kingkwame215 @BrandonOnSports @jwtheblueprint @DevMacWRSports ???????
604734042_350403041683439616 x	I like the Wizards backcourt tho if Wall can make a jumper
604734042_347469899016335360 x	I beat all 3 of them & made 1 quit ??? RT @215KWA: ?@mhj_5: Happy Born Day @215KWA? appreciate it @mhj_5! Let me get them codes fam! Hahaha
604734042_341701004569481216 x	U watching me play Madden?? RT @mcgarv23: Can't wait to watch the game played at the highest level with the highest urgency tonight
604734042_341705710842810368 x	@215KWA I beat them dudes yo. Nice, Rob, & John.. But that was reg season.. I gotta win it all or it?s for naught
604734042_337554766517391361 x	@Izzie_256 @taaalib ummmm yeah.. Where was he going??
