606540712_389137105890582528 x	@brooke_eklind @ShanleyWalker i know a girl in this picture @allidamico
606540712_389115606383230976 x	RT @spodermenpls: wana c an majyk trik??  abrakadabra ur an fagit
606540712_389089707654914048 x	@McLaughAtMyself happy birthday!
606540712_389083891786866688 x	In Baltimore finally
606540712_389053983924690944 x	@caulrich6 how
606540712_389059086480056320 x	@caulrich6 you never stop talking
606540712_388480582235471872 x	@emily__knobel you hit homeruns and game winning 3s.
606540712_388402016533643264 x	So funny how fake girls are to each other when they first meet.
606540712_388062868991922176 x	If you don't like the red hot chili peppers your lying
606540712_387320821666299904 x	@l_alba65 ()
606540712_387319493208571904 x	RT @pelly_p13: So you think you can tell, heaven from hell.
606540712_387301668171563008 x	Today couldn't have been any worse.
606540712_386995512349831168 x	RT @IamEvilTebow: This is the part of game where Romo throws his 1st INT
606540712_386994066820702208 x	The one week I'm playing against Romo and dez Bryant they do this... Thanks!
606540712_386994578576130048 x	@l_alba65 you know the answer don't get smart with me ronaldo
606540712_386979070866882560 x	RT @l_alba65: Just give the MVP trophy to Peyton now
606540712_386946512955400192 x	At least the packers won
606540712_386854139999055872 x	Haven't felt like this in a long time.
606540712_386690682192404480 x	Sleeping in feels so good
606540712_386682928920805376 x	RT @TheRaceDraft: BREAKING: Whites have been banned from bringing their girlfriends to Lakers games. http://t.co/t0OH27S2RK
606540712_386531660055203840 x	Just saw a guy rocking a Hernandez Jersey #douchebag
606540712_385570937758048256 x	RT @FakeSportsCentr: Jaguars attempt to tell Broncos they are a military service academy
606540712_385558589295067136 x	All i do is eat when I'm bored
606540712_385193080611438592 x	@brooke_eklind i don't know if your kidding or not
606540712_385161227225534464 x	@aknobel3 is the man
606540712_385147192157417473 x	Need to clear my mind so bad.
606540712_385076590771990528 x	@RPerron11 happy birthday bro
606540712_385076470106058752 x	@drossi67 happy birthday man
606540712_384973694894104576 x	RT @Burdman15G: Green Day guy, wake up!
606540712_384819122661761024 x	I always say I'm gonna take a nap later when i wake up but i never do.
606540712_384786859408515072 x	RT @MikeQ182: If you have a "Make Art, Not War" sticker on your car, I probably don't like you
606540712_384785962896998401 x	Stressing out hard lately
606540712_384641423922167808 x	This weeks gonna blow
606540712_384490939676639232 x	RT @IamEvilTebow: Tony Gonzalez stays in great shape during the off-season by running a lawn care service
606540712_384471267057102848 x	@_mmccrosson that makes me cringe
606540712_384458167348129792 x	Cowboys can never finish
606540712_384458428355477505 x	@aknobel3 why, is it dancing?
606540712_384443876289036288 x	This weekend went by way to fast
606540712_384381288058454016 x	I can't take a cold shower
606540712_384311420328112128 x	Fuck that dream
606540712_384160370019282944 x	Nothing is the same anymore
606540712_383622684342779904 x	RT @aknobel3: Not a Yankee fan by any means but seeing Rivera go out like that was awesome
606540712_383162783866843136 x	@Erin__Markham when do you make me food??!
606540712_382650777313234944 x	@brittestrella I'll catch it
606540712_382646312707293184 x	Relaxing after a long day feels so good
606540712_382544404462174209 x	3 more hours of this shit
606540712_382324153350901760 x	@megeastcoast if you do that's impressive
606540712_382528404538789888 x	@Erin__Markham @megeastcoast @aknobel3
606540712_382324538853572608 x	@_mmccrosson @megeastcoast @mtmarcoccio
606540712_382324799298867200 x	@_mmccrosson @megeastcoast @mtmarcoccio you came at me first
606540712_382323715276816384 x	I fucking hate spiders
606540712_382270519309254657 x	RT @jdaaar: @ryanbrown_4 thx gurl <33
606540712_382249018098987008 x	@jdaaar happy birthday joshh!!!  B-)
606540712_382248655308488705 x	I need mcfadden to just get 4 points tonight and I'm still nervous.
606540712_381943935515758592 x	RT @IamEvilTebow: Big Ben throwing his balls around like he's in a college bar bathroom.
606540712_381836768817205248 x	Time for change
606540712_381416834438004737 x	@AhmanGreen30 easily my favorite player of all time
606540712_380637840872570880 x	@aknobel3 i told you
606540712_380513369633337344 x	@ENLATL what's up asshole
606540712_380508711468691456 x	RT @FauxJohnMadden: BREAKING:  Cleveland Browns trades entire offense (Trent Richardson) to Indianapolis Colts.
606540712_380142823234109440 x	@Erin__Markham #Packers
606540712_380138488618049536 x	@l_alba65 you love it don't lie, your texting her right now
606540712_380093284930289664 x	RT @aknobel3: @RealDelloo @ryanbrown_4 yeah cuz your dudes all put up like career games
606540712_379919996878860288 x	@RealDelloo @aknobel3 i beat his ass
606540712_379729647539609601 x	RT @mtmarcoccio: This class is gonna be like pulling teeth
606540712_379726446178344961 x	I always sit next to the kids that smell like fuckin ass
606540712_379726946214895616 x	@vcourt015 hahaha fuckk off
606540712_379699911580999681 x	@Erin__Markham its been one week
606540712_379347175744229376 x	RT @NatePlay60: My School's playground's grass > Raiders' field
606540712_379305371531493376 x	James Jones is the man
606540712_379051042253848576 x	"is hogwarts a real school?"
606540712_378576328255348736 x	This day needs to go by faster
606540712_378305366486163456 x	@l_alba65 way to early for that
606540712_378188204241063936 x	@BMoccia16 happy birthday buddy, hope its a good one!
606540712_377925693881204736 x	@dan_913 you suck
606540712_377830551665008640 x	RT @BrendanPaulhus: For some reason I find it gross when girls put up pics of food. Cause you know right after it they mowed on it
606540712_377743765790023680 x	@emily__knobel the nfl, or NBA probably
606540712_377249869393825792 x	I got poison ivy between the toes, fuckk that.
606540712_377215541318275074 x	Catching a guy using snap chat in class so funny.
606540712_377190001249099776 x	Mondays this year are gonna suck.
606540712_376854766758137856 x	):
606540712_376842473739669504 x	@ASAP_WAIN you suck
606540712_376819600576741376 x	RT @IamEvilTebow: Eddie Lacy wouldn't have fumbled that if it was a sandwich. #FatFuck
606540712_376740149973237760 x	So pumped for football
606540712_376723394932539392 x	RT @TheRealestTimbo: Yaaa football tomorrow #sundays #muchneeded
606540712_376537629153828864 x	@Erin__Markham yeah I'll grab one
606540712_376476750852939777 x	Lost in minigolf to Erin......
606540712_376383356860383232 x	@MANDO761 to easy
606540712_376385482416226305 x	@MANDO761 go Miami
606540712_375751766715158528 x	2 years flew by
606540712_375751270155694080 x	RT @jdaaar: If you're a bitch who's constantly complaining about how guys suck, shut the fuck up and find a hobby #worstkindofperson
606540712_375727310236028928 x	@jdaaar is it hard josh, is it?
606540712_375413070606393344 x	Poor kids ufc debut and hes getting his ass kicked.
606540712_375399361381138432 x	@eebrown30 good luck with your sophmore year stilts, enjoy it while your there. Have fun!
606540712_375384311006240768 x	@emily__knobel @aknobel3 i remember high school
606540712_375356074842664960 x	Finally time to relax
606540712_375072526021705729 x	Can't wait for football to start.
606540712_375032390789644290 x	@The_JoeyB I'll be looking
606540712_374686659297951744 x	@amandaboodrow id easily go see him
606540712_374628168692695040 x	"The white ones suck and the brown ones smell"
606540712_374543585951354880 x	Going to try to enjoy this last day.
606540712_374570476800331776 x	@MikeQ182 nah man, I've been working full time all summer for an electrician and I'm gonna keep working for him and take night classes.
606540712_374570883832356864 x	@MikeQ182 deff man, just let me know when.
