36980342_383722500288688129 x	There are fewer sounds I enjoy more than a whole chicken roasting away in a super hot oven.
36980342_380388433501249537 x	What am I? http://t.co/03a3gZ7Gw1
36980342_380405572103069696 x	?@Sengel626: @guarnaschelli ready to be made into beer!? Yes...
36980342_324956778578190337 x	Spring http://t.co/wy3ubV4Dq5
36980342_283041169775136768 x	Chili peppers are like little time bombs
36980342_394772692605628416 x	Can't sleep.Making smothered pork chopped with onions, white mushrooms & shallots. Supposed to be for dinner but looks like breakfast now...
36980342_394585605860229120 x	@SanoChef !
36980342_276046780553109504 x	Just caught a little mixed aroma of Christmas pine and cooking bacon in the street. I love New York.
36980342_241717457893609473 x	Finishing with a glass of this. Unsponsored post http://t.co/m7t21Vmd
