39260365_399714328586117121 x	Hey @BroadStBeat you do have awesome followers!!! Thanks for putting me over 2600!
39260365_399136112486014976 x	@CarieBrescia thanks so much #lotsofcompliments!
39260365_398979877342150656 x	#ff @tapper @AmandaWoz @TheCafePhilly @PPDBrianGeer @PPDPaulGuercio @stevemummo @cduca2 @chiefpressler @NotesFromHeL
39260365_397725176638349312 x	Will it change your vote if a candidate grabs your hand as you are just walking into vote?  Man they are out in force at our polling spot!
39260365_397727866063835136 x	@ChiefPressler me too!!! I mean it was a little forceful.
39260365_397751043288612865 x	@ChiefPressler I tried that. Walked in straight for polls... They are everywhere!!
39260365_396410350393769984 x	#FF @Bensalem_Fire @redcrossphilly @iphillychitchat @phillymag @4TheSakeOfCake @ChiefPressler @DeniseNakanoTV @HaveSippy
39260365_391973477478957056 x	getting head start on #ff @christnemaddela @ChiefMChitwood @Pres_for_life @ChiefPressler @Doughalicious @stevemummo @tapper @alexisa324
39260365_374508787920429056 x	Good morning to new followers: @josephar @tundellaSalon @west6 @debbieshirey. Labor day #FF
39260365_385709981439623168 x	Philly prosecutor under investigation : http://t.co/8cJjg4LlQY
