65203398_61262993136156673 x	@antman1214 yeep it is
65203398_147384268853755904 x	thank god it's the weekend <3
65203398_147502610969137152 x	@antman1214 heey whats up?
65203398_147503226927845377 x	@antman1214 nothing, bored.
65203398_147503786137616384 x	@antman1214 sucks l0l
65203398_61966587837685760 x	sucks i have work 6am tomorrow and its easter..fml
65203398_61969137806753792 x	@antman1214 at a nursing home
65203398_61256986494386176 x	@antman1214 18
65203398_60845468984410113 x	it's pretty funny when my mom sends me to my room and take away my computer duhh I have internet on my phone! dumb bitch
