331283041_233985462467969026 x	Trade is official. My thanks to Philly and Sixers fans for your support over the last 8 yrs.
331283041_350414688481320961 x	Carter Williams has so much potential.
331283041_353244014197219331 x	Yo @StephenCurry30 LETS GET IT!!!!
331283041_346759934102355968 x	Burn!
331283041_346343069119029248 x	Tiger thru, so I'm rootin for Michael Kim's caddie!
331283041_326846229445214208 x	Game 2 http://t.co/fl0UphoaYa
331283041_263635462957191170 x	My letter to Philadelphia on my official website http://t.co/fQPhtF2g
331283041_223561044923129856 x	My #TeamUSA jersey for tonight's exhibition game. Y'all like?  @ Thomas & Mack Center http://t.co/skXw7zOv
331283041_221778726625615873 x	Very honored to be selected to 2012 USA men's basketball team. Thanks to all fans and supports for prayers.
331283041_205692187172810752 x	Tyson was defensive player of the year but is 2nd team all defense.... #thingsthatmakeyougommmmmh...
